IdFaseNota,NomeFase,OrdemExibicao,IdSerie,IdPeriodo,Temas,Conteudos,DataInicioExibicao,DataLimiteDigitacao,ComentarioMetaBoletim,TemaFaseNota
117,1º SEMESTRE,1,2,5,,,,,,
118,2º SEMESTRE,2,2,5,,,,,,
119,1º SEMESTRE,1,2,6,,,,,,
120,2º SEMESTRE,2,2,6,,,,,,
121,1º SEMESTRE,1,8,6,,,,,,
122,2º SEMESTRE,2,8,6,,,,,,
123,1º SEMESTRE,1,11,6,,,,,,
124,2º SEMESTRE,2,11,6,,,,,,
125,1º SEMESTRE,1,15,6,,,,,,
126,2º SEMESTRE,2,15,6,,,,,,
127,1º SEMESTRE,1,18,6,,,,,,
128,2º SEMESTRE,2,18,6,,,,,,
129,1º SEMESTRE,1,24,6,,,,,,
130,2º SEMESTRE,2,24,6,,,,,,
131,1º SEMESTRE,1,25,6,,,,,,
132,2º SEMESTRE,2,25,6,,,,,,
133,1º SEMESTRE,1,29,6,,,,,,
134,2º SEMESTRE,2,29,6,,,,,,
135,1º SEMESTRE,1,32,6,,,,,,
136,2º SEMESTRE,2,32,6,,,,,,
137,1º SEMESTRE,1,54,6,,,,,,
138,2º SEMESTRE,2,54,6,,,,,,
139,1º SEMESTRE,1,59,6,,,,,,
140,2º SEMESTRE,2,59,6,,,,,,
141,1º SEMESTRE,1,60,6,,,,,,
142,2º SEMESTRE,2,60,6,,,,,,
143,1º SEMESTRE,1,2,7,,,,,,
144,2º SEMESTRE,2,2,7,,,,,,
145,1º SEMESTRE,1,8,7,,,,,,
146,2º SEMESTRE,2,8,7,,,,,,
147,1º SEMESTRE,1,11,7,,,,,,
148,2º SEMESTRE,2,11,7,,,,,,
149,1º SEMESTRE,1,15,7,,,,,,
150,2º SEMESTRE,2,15,7,,,,,,
151,1º SEMESTRE,1,25,7,,,,,,
152,2º SEMESTRE,2,25,7,,,,,,
153,1º SEMESTRE,1,24,7,,,,,,
154,2º SEMESTRE,2,24,7,,,,,,
155,1º SEMESTRE,1,29,7,,,,,,
156,2º SEMESTRE,2,29,7,,,,,,
157,1º SEMESTRE,1,32,7,,,,,,
158,2º SEMESTRE,2,32,7,,,,,,
159,1º SEMESTRE,1,54,7,,,,,,
160,2º SEMESTRE,2,54,7,,,,,,
161,1º SEMESTRE,1,59,7,,,,,,
162,2º SEMESTRE,2,59,7,,,,,,
