IdDisciplina,IdTurma,IdAluno,IdFaseNotaAtual,SituacaoAtual,StDisciplinaDispensada,IdAlunoCurso,DataMatricula,IdUsuarioMatricula,DataTrancamento,IdUsuarioTrancamento,IdMotivoTrancamento,ComentarioTrancamento,IdSituacaoAlunoDisciplina,NotaFinal,Faltas,ProblemaAutorizadoMatricula,IdUsuarioAutorizacaoMatricula,JustificativaAutorizacaoMatricula,StGoogleEdu_Sincronizado,GoogleForEducation_LogProcessamento
4,107,29,55,A,A,,,14.0,,,,,75,,,,,,False,
5,107,29,55,A,A,,,14.0,,,,,76,,,,,,False,
17,107,29,55,A,A,,,14.0,,,,,77,,,,,,False,
1,107,30,55,A,A,,,14.0,,,,,78,,,,,,False,
4,107,30,55,A,A,,,14.0,,,,,79,,,,,,False,
5,107,30,55,A,A,,,14.0,,,,,80,,,,,,False,
17,107,30,55,A,A,,,14.0,,,,,81,,,,,,False,
1,107,31,55,A,A,,,14.0,,,,,82,,,,,,False,
4,107,31,55,A,A,,,14.0,,,,,83,,,,,,False,
5,107,31,55,A,A,,,14.0,,,,,84,,,,,,False,
17,107,31,55,A,A,,,14.0,,,,,85,,,,,,False,
1,107,32,55,A,A,,,14.0,,,,,86,,,,,,False,
4,107,32,55,A,A,,,14.0,,,,,87,,,,,,False,
5,107,32,55,A,A,,,14.0,,,,,88,,,,,,False,
17,107,32,55,A,A,,,14.0,,,,,89,,,,,,False,
1,117,33,61,A,A,,,14.0,,,,,90,,,,,,False,
4,117,33,61,A,A,,,14.0,,,,,91,,,,,,False,
5,117,33,61,A,A,,,14.0,,,,,92,,,,,,False,
17,117,33,57,C,A,,,14.0,,,,,93,,,,,,False,
1,117,36,61,A,A,,,14.0,,,,,96,,,,,,False,
4,117,36,61,A,A,,,14.0,,,,,97,,,,,,False,
5,117,36,61,A,A,,,14.0,,,,,98,,,,,,False,
17,117,36,57,C,A,,,14.0,,,,,99,,,,,,False,
1,117,37,61,A,A,,,14.0,,,,,100,,,,,,False,
4,117,37,61,A,A,,,14.0,,,,,101,,,,,,False,
5,117,37,61,A,A,,,14.0,,,,,102,,,,,,False,
17,117,37,57,C,A,,,14.0,,,,,103,,,,,,False,
1,117,38,61,A,A,,,14.0,,,,,104,,,,,,False,
4,117,38,61,A,A,,,14.0,,,,,105,,,,,,False,
5,117,38,61,A,A,,,14.0,,,,,106,,,,,,False,
17,117,38,57,C,A,,,14.0,,,,,107,,,,,,False,
1,117,39,61,A,A,,,14.0,,,,,108,,,,,,False,
4,117,39,61,A,A,,,14.0,,,,,109,,,,,,False,
5,117,39,61,A,A,,,14.0,,,,,110,,,,,,False,
17,117,39,57,C,A,,,14.0,,,,,111,,,,,,False,
1,117,40,61,A,A,,,14.0,,,,,112,,,,,,False,
4,117,40,61,A,A,,,14.0,,,,,113,,,,,,False,
5,117,40,61,A,A,,,14.0,,,,,114,,,,,,False,
17,117,40,57,C,A,,,14.0,,,,,115,,,,,,False,
1,117,41,61,A,A,,,14.0,,,,,116,,,,,,False,
4,117,41,61,A,A,,,14.0,,,,,117,,,,,,False,
5,117,41,61,A,A,,,14.0,,,,,118,,,,,,False,
17,117,41,57,C,A,,,14.0,,,,,119,,,,,,False,
1,117,42,61,A,A,,,14.0,,,,,120,,,,,,False,
4,117,42,61,A,A,,,14.0,,,,,121,,,,,,False,
5,117,42,61,A,A,,,14.0,,,,,122,,,,,,False,
17,117,42,57,C,A,,,14.0,,,,,123,,,,,,False,
1,117,43,61,A,A,,,14.0,,,,,124,,,,,,False,
4,117,43,61,A,A,,,14.0,,,,,125,,,,,,False,
5,117,43,61,A,A,,,14.0,,,,,126,,,,,,False,
17,117,43,57,C,A,,,14.0,,,,,127,,,,,,False,
5,115,51,67,A,A,,,16.0,,,,,135,,,,,,False,
5,115,52,67,A,A,,,16.0,,,,,136,,,,,,False,
5,115,53,67,A,A,,,16.0,,,,,137,,,,,,False,
5,115,54,67,A,A,,,16.0,,,,,138,,,,,,False,
5,115,55,67,A,A,,,16.0,,,,,139,,,,,,False,
5,115,56,67,A,A,,,16.0,,,,,140,,,,,,False,
5,115,57,67,A,A,,,16.0,,,,,141,,,,,,False,
5,115,58,67,A,A,,,16.0,,,,,142,,,,,,False,
5,115,59,67,A,A,,,16.0,,,,,143,,,,,,False,
5,115,60,67,A,A,,,16.0,,,,,144,,,,,,False,
5,115,61,67,A,A,,,16.0,,,,,145,,,,,,False,
5,115,62,67,A,A,,,16.0,,,,,146,,,,,,False,
5,115,63,67,A,A,,,16.0,,,,,147,,,,,,False,
5,115,64,67,A,A,,,16.0,,,,,148,,,,,,False,
5,115,65,67,A,A,,,16.0,,,,,149,,,,,,False,
5,115,66,67,A,A,,,16.0,,,,,150,,,,,,False,
5,115,67,67,A,A,,,16.0,,,,,151,,,,,,False,
1,117,68,61,A,A,,,14.0,,,,,152,,,,,,False,
4,117,68,61,A,A,,,14.0,,,,,153,,,,,,False,
5,117,68,61,A,A,,,14.0,,,,,154,,,,,,False,
17,117,68,57,C,A,,,14.0,,,,,155,,,,,,False,
1,117,69,61,A,A,,,14.0,,,,,156,,,,,,False,
4,117,69,61,A,A,,,14.0,,,,,157,,,,,,False,
5,117,69,61,A,A,,,14.0,,,,,158,,,,,,False,
17,117,69,57,C,A,,,14.0,,,,,159,,,,,,False,
1,117,70,61,A,A,,,14.0,,,,,160,,,,,,False,
4,117,70,61,A,A,,,14.0,,,,,161,,,,,,False,
5,117,70,61,A,A,,,14.0,,,,,162,,,,,,False,
17,117,70,57,C,A,,,14.0,,,,,163,,,,,,False,
1,117,71,58,C,A,,,14.0,,,,,164,,,,,,False,
4,117,71,58,C,A,,,14.0,,,,,165,,,,,,False,
5,117,71,58,C,A,,,14.0,,,,,166,,,,,,False,
17,117,71,57,C,A,,,14.0,,,,,167,,,,,,False,
1,117,72,61,A,A,,,14.0,,,,,168,,,,,,False,
4,117,72,61,A,A,,,14.0,,,,,169,,,,,,False,
5,117,72,61,A,A,,,14.0,,,,,170,,,,,,False,
17,117,72,57,C,A,,,14.0,,,,,171,,,,,,False,
1,117,73,61,A,A,,,14.0,,,,,172,,,,,,False,
4,117,73,61,A,A,,,14.0,,,,,173,,,,,,False,
5,117,73,61,A,A,,,14.0,,,,,174,,,,,,False,
17,117,73,57,C,A,,,14.0,,,,,175,,,,,,False,
1,117,74,61,A,A,,,14.0,,,,,176,,,,,,False,
4,117,74,61,A,A,,,14.0,,,,,177,,,,,,False,
5,117,74,61,A,A,,,14.0,,,,,178,,,,,,False,
17,117,74,57,C,A,,,14.0,,,,,179,,,,,,False,
1,117,75,61,A,A,,,14.0,,,,,180,,,,,,False,
4,117,75,61,A,A,,,14.0,,,,,181,,,,,,False,
5,117,75,61,A,A,,,14.0,,,,,182,,,,,,False,
17,117,75,57,C,A,,,14.0,,,,,183,,,,,,False,
1,117,76,61,A,A,,,14.0,,,,,184,,,,,,False,
4,117,76,61,A,A,,,14.0,,,,,185,,,,,,False,
5,117,76,61,A,A,,,14.0,,,,,186,,,,,,False,
17,117,76,57,C,A,,,14.0,,,,,187,,,,,,False,
1,118,77,57,C,A,,,14.0,,,,,188,,,,,,False,
4,118,77,57,C,A,,,14.0,,,,,189,,,,,,False,
5,118,77,57,C,A,,,14.0,,,,,190,,,,,,False,
17,118,77,57,C,A,,,14.0,,,,,191,,,,,,False,
1,118,78,57,C,A,,,14.0,,,,,192,,,,,,False,
4,118,78,57,C,A,,,14.0,,,,,193,,,,,,False,
5,118,78,57,C,A,,,14.0,,,,,194,,,,,,False,
17,118,78,57,C,A,,,14.0,,,,,195,,,,,,False,
1,118,79,57,C,A,,,14.0,,,,,196,,,,,,False,
4,118,79,57,C,A,,,14.0,,,,,197,,,,,,False,
5,118,79,57,C,A,,,14.0,,,,,198,,,,,,False,
17,118,79,57,C,A,,,14.0,,,,,199,,,,,,False,
5,115,80,67,A,A,,,16.0,,,,,200,,,,,,False,
5,115,81,67,A,A,,,16.0,,,,,201,,,,,,False,
5,115,82,67,A,A,,,16.0,,,,,202,,,,,,False,
5,115,83,67,A,A,,,16.0,,,,,203,,,,,,False,
5,115,84,67,A,A,,,16.0,,,,,204,,,,,,False,
5,115,85,67,A,A,,,16.0,,,,,205,,,,,,False,
1,118,91,57,C,A,,,14.0,,,,,215,,,,,,False,
4,118,91,57,C,A,,,14.0,,,,,216,,,,,,False,
5,118,91,57,C,A,,,14.0,,,,,217,,,,,,False,
17,118,91,57,C,A,,,14.0,,,,,218,,,,,,False,
1,118,90,57,C,A,,,14.0,,,,,219,,,,,,False,
4,118,90,57,C,A,,,14.0,,,,,220,,,,,,False,
5,118,90,57,C,A,,,14.0,,,,,221,,,,,,False,
17,118,90,57,C,A,,,14.0,,,,,222,,,,,,False,
1,117,89,61,A,A,,,14.0,,,,,223,,,,,,False,
4,117,89,61,A,A,,,14.0,,,,,224,,,,,,False,
5,117,89,61,A,A,,,14.0,,,,,225,,,,,,False,
17,117,89,57,C,A,,,14.0,,,,,226,,,,,,False,
20,113,5,63,C,A,,,15.0,,,,,227,,,,,,False,
20,113,6,63,C,A,,,15.0,,,,,228,,,,,,False,
20,113,7,63,C,A,,,15.0,,,,,229,,,,,,False,
20,113,9,63,C,A,,,15.0,,,,,230,,,,,,False,
20,113,10,63,C,A,,,15.0,,,,,231,,,,,,False,
20,113,11,63,C,A,,,15.0,,,,,232,,,,,,False,
20,113,13,63,C,A,,,15.0,,,,,233,,,,,,False,
20,113,14,63,C,A,,,15.0,,,,,234,,,,,,False,
20,113,16,63,C,A,,,15.0,,,,,235,,,,,,False,
20,115,51,63,C,A,,,15.0,,,,,250,,,,,,False,
20,115,52,63,C,A,,,15.0,,,,,251,,,,,,False,
20,115,53,63,C,A,,,15.0,,,,,252,,,,,,False,
20,115,54,63,C,A,,,15.0,,,,,253,,,,,,False,
20,115,55,63,C,A,,,15.0,,,,,254,,,,,,False,
20,115,56,63,C,A,,,15.0,,,,,255,,,,,,False,
20,115,57,63,C,A,,,15.0,,,,,256,,,,,,False,
20,115,58,63,C,A,,,15.0,,,,,257,,,,,,False,
20,115,59,63,C,A,,,15.0,,,,,258,,,,,,False,
20,115,60,63,C,A,,,15.0,,,,,259,,,,,,False,
20,115,61,63,C,A,,,15.0,,,,,260,,,,,,False,
20,115,62,63,C,A,,,15.0,,,,,261,,,,,,False,
20,115,63,63,C,A,,,15.0,,,,,262,,,,,,False,
20,115,64,63,C,A,,,15.0,,,,,263,,,,,,False,
20,115,65,63,C,A,,,15.0,,,,,264,,,,,,False,
20,115,66,63,C,A,,,15.0,,,,,265,,,,,,False,
20,115,67,63,C,A,,,15.0,,,,,266,,,,,,False,
20,115,80,63,C,A,,,15.0,,,,,267,,,,,,False,
20,115,81,63,C,A,,,15.0,,,,,268,,,,,,False,
20,115,82,63,C,A,,,15.0,,,,,269,,,,,,False,
20,115,83,63,C,A,,,15.0,,,,,270,,,,,,False,
20,115,84,63,C,A,,,15.0,,,,,271,,,,,,False,
20,115,85,63,C,A,,,15.0,,,,,272,,,,,,False,
1,119,92,49,A,A,,,14.0,,,,,273,,,,,,False,
4,119,92,49,A,A,,,14.0,,,,,274,,,,,,False,
5,119,92,49,A,A,,,14.0,,,,,275,,,,,,False,
17,119,92,45,C,A,,,14.0,,,,,276,,,,,,False,
1,119,93,49,A,A,,,14.0,,,,,277,,,,,,False,
4,119,93,49,A,A,,,14.0,,,,,278,,,,,,False,
5,119,93,49,A,A,,,14.0,,,,,279,,,,,,False,
17,119,93,45,C,A,,,14.0,,,,,280,,,,,,False,
1,119,94,49,A,A,,,14.0,,,,,281,,,,,,False,
4,119,94,49,A,A,,,14.0,,,,,282,,,,,,False,
5,119,94,49,A,A,,,14.0,,,,,283,,,,,,False,
17,119,94,45,C,A,,,14.0,,,,,284,,,,,,False,
1,119,95,49,A,A,,,14.0,,,,,285,,,,,,False,
4,119,95,49,A,A,,,14.0,,,,,286,,,,,,False,
5,119,95,49,A,A,,,14.0,,,,,287,,,,,,False,
17,119,95,45,C,A,,,14.0,,,,,288,,,,,,False,
1,119,96,49,A,A,,,14.0,,,,,289,,,,,,False,
4,119,96,49,A,A,,,14.0,,,,,290,,,,,,False,
5,119,96,49,A,A,,,14.0,,,,,291,,,,,,False,
17,119,96,45,C,A,,,14.0,,,,,292,,,,,,False,
1,119,97,49,A,A,,,14.0,,,,,293,,,,,,False,
4,119,97,49,A,A,,,14.0,,,,,294,,,,,,False,
5,119,97,49,A,A,,,14.0,,,,,295,,,,,,False,
17,119,97,45,C,A,,,14.0,,,,,296,,,,,,False,
1,119,111,49,A,A,,,14.0,,,,,297,,,,,,False,
4,119,111,49,A,A,,,14.0,,,,,298,,,,,,False,
5,119,111,49,A,A,,,14.0,,,,,299,,,,,,False,
17,119,111,45,C,A,,,14.0,,,,,300,,,,,,False,
1,119,98,49,A,A,,,14.0,,,,,301,,,,,,False,
4,119,98,49,A,A,,,14.0,,,,,302,,,,,,False,
5,119,98,49,A,A,,,14.0,,,,,303,,,,,,False,
17,119,98,45,C,A,,,14.0,,,,,304,,,,,,False,
1,119,99,49,A,A,,,14.0,,,,,305,,,,,,False,
4,119,99,49,A,A,,,14.0,,,,,306,,,,,,False,
5,119,99,49,A,A,,,14.0,,,,,307,,,,,,False,
17,119,99,45,C,A,,,14.0,,,,,308,,,,,,False,
1,111,102,49,A,A,,,14.0,,,,,317,,,,,,False,
4,111,102,49,A,A,,,14.0,,,,,318,,,,,,False,
5,111,102,49,A,A,,,14.0,,,,,319,,,,,,False,
17,111,102,45,C,A,,,14.0,,,,,320,,,,,,False,
1,111,101,49,A,A,,,,,,,,321,,,,,,False,
4,111,101,49,A,A,,,,,,,,322,,,,,,False,
5,111,101,49,A,A,,,,,,,,323,,,,,,False,
17,111,101,45,C,A,,,,,,,,324,,,,,,False,
1,111,100,49,A,A,,,,,,,,325,,,,,,False,
4,111,100,49,A,A,,,,,,,,326,,,,,,False,
5,111,100,49,A,A,,,,,,,,327,,,,,,False,
17,111,100,45,C,A,,,,,,,,328,,,,,,False,
1,111,103,49,A,A,,,14.0,,,,,329,,,,,,False,
4,111,103,49,A,A,,,14.0,,,,,330,,,,,,False,
5,111,103,49,A,A,,,14.0,,,,,331,,,,,,False,
17,111,103,45,C,A,,,14.0,,,,,332,,,,,,False,
1,111,105,49,A,A,,,14.0,,,,,333,,,,,,False,
4,111,105,49,A,A,,,14.0,,,,,334,,,,,,False,
5,111,105,49,A,A,,,14.0,,,,,335,,,,,,False,
17,111,105,45,C,A,,,14.0,,,,,336,,,,,,False,
1,111,106,49,A,A,,,14.0,,,,,337,,,,,,False,
4,111,106,49,A,A,,,14.0,,,,,338,,,,,,False,
5,111,106,49,A,A,,,14.0,,,,,339,,,,,,False,
17,111,106,45,C,A,,,14.0,,,,,340,,,,,,False,
1,111,107,49,A,A,,,14.0,,,,,341,,,,,,False,
4,111,107,49,A,A,,,14.0,,,,,342,,,,,,False,
5,111,107,49,A,A,,,14.0,,,,,343,,,,,,False,
17,111,107,45,C,A,,,14.0,,,,,344,,,,,,False,
1,111,108,49,A,A,,,14.0,,,,,345,,,,,,False,
4,111,108,49,A,A,,,14.0,,,,,346,,,,,,False,
5,111,108,49,A,A,,,14.0,,,,,347,,,,,,False,
17,111,108,45,C,A,,,14.0,,,,,348,,,,,,False,
1,111,109,49,A,A,,,14.0,,,,,349,,,,,,False,
4,111,109,49,A,A,,,14.0,,,,,350,,,,,,False,
5,111,109,49,A,A,,,14.0,,,,,351,,,,,,False,
17,111,109,45,C,A,,,14.0,,,,,352,,,,,,False,
1,112,110,49,A,A,,,14.0,,,,,357,,,,,,False,
4,112,110,49,A,A,,,14.0,,,,,358,,,,,,False,
5,112,110,49,A,A,,,14.0,,,,,359,,,,,,False,
17,112,110,45,C,A,,,14.0,,,,,360,,,,,,False,
1,111,104,49,A,A,,,14.0,,,,,361,,,,,,False,
4,111,104,49,A,A,,,14.0,,,,,362,,,,,,False,
5,111,104,49,A,A,,,14.0,,,,,363,,,,,,False,
17,111,104,45,C,A,,,14.0,,,,,364,,,,,,False,
1,119,112,49,A,A,,,14.0,,,,,365,,,,,,False,
4,119,112,49,A,A,,,14.0,,,,,366,,,,,,False,
5,119,112,49,A,A,,,14.0,,,,,367,,,,,,False,
17,119,112,45,C,A,,,14.0,,,,,368,,,,,,False,
1,119,113,49,A,A,,,14.0,,,,,369,,,,,,False,
4,119,113,49,A,A,,,14.0,,,,,370,,,,,,False,
5,119,113,49,A,A,,,14.0,,,,,371,,,,,,False,
17,119,113,45,C,A,,,14.0,,,,,372,,,,,,False,
1,111,114,49,A,A,,,14.0,,,,,373,,,,,,False,
4,111,114,49,A,A,,,14.0,,,,,374,,,,,,False,
5,111,114,49,A,A,,,14.0,,,,,375,,,,,,False,
17,111,114,45,C,A,,,14.0,,,,,376,,,,,,False,
1,111,115,49,A,A,,,14.0,,,,,377,,,,,,False,
4,111,115,49,A,A,,,14.0,,,,,378,,,,,,False,
5,111,115,49,A,A,,,14.0,,,,,379,,,,,,False,
17,111,115,45,C,A,,,14.0,,,,,380,,,,,,False,
1,112,116,49,A,A,,,14.0,,,,,381,,,,,,False,
4,112,116,49,A,A,,,14.0,,,,,382,,,,,,False,
5,112,116,49,A,A,,,14.0,,,,,383,,,,,,False,
17,112,116,45,C,A,,,14.0,,,,,384,,,,,,False,
1,112,117,49,A,A,,,14.0,,,,,385,,,,,,False,
4,112,117,49,A,A,,,14.0,,,,,386,,,,,,False,
5,112,117,49,A,A,,,14.0,,,,,387,,,,,,False,
17,112,117,45,C,A,,,14.0,,,,,388,,,,,,False,
1,112,118,49,A,A,,,14.0,,,,,389,,,,,,False,
4,112,118,49,A,A,,,14.0,,,,,390,,,,,,False,
5,112,118,49,A,A,,,14.0,,,,,391,,,,,,False,
17,112,118,45,C,A,,,14.0,,,,,392,,,,,,False,
1,112,120,49,A,A,,,14.0,,,,,397,,,,,,False,
4,112,120,49,A,A,,,14.0,,,,,398,,,,,,False,
5,112,120,49,A,A,,,14.0,,,,,399,,,,,,False,
17,112,120,45,C,A,,,14.0,,,,,400,,,,,,False,
1,114,121,49,A,A,,,14.0,,,,,401,,,,,,False,
4,114,121,49,A,A,,,14.0,,,,,402,,,,,,False,
5,114,121,49,A,A,,,14.0,,,,,403,,,,,,False,
17,114,121,45,C,A,,,14.0,,,,,404,,,,,,False,
1,114,122,49,A,A,,,14.0,,,,,405,,,,,,False,
4,114,122,49,A,A,,,14.0,,,,,406,,,,,,False,
5,114,122,49,A,A,,,14.0,,,,,407,,,,,,False,
17,114,122,45,C,A,,,14.0,,,,,408,,,,,,False,
1,114,123,49,A,A,,,14.0,,,,,409,,,,,,False,
4,114,123,49,A,A,,,14.0,,,,,410,,,,,,False,
5,114,123,49,A,A,,,14.0,,,,,411,,,,,,False,
17,114,123,45,C,A,,,14.0,,,,,412,,,,,,False,
1,114,124,49,A,A,,,14.0,,,,,413,,,,,,False,
4,114,124,49,A,A,,,14.0,,,,,414,,,,,,False,
5,114,124,49,A,A,,,14.0,,,,,415,,,,,,False,
17,114,124,45,C,A,,,14.0,,,,,416,,,,,,False,
1,114,125,49,A,A,,,14.0,,,,,417,,,,,,False,
4,114,125,49,A,A,,,14.0,,,,,418,,,,,,False,
5,114,125,49,A,A,,,14.0,,,,,419,,,,,,False,
17,114,125,45,C,A,,,14.0,,,,,420,,,,,,False,
1,114,126,49,A,A,,,14.0,,,,,421,,,,,,False,
4,114,126,49,A,A,,,14.0,,,,,422,,,,,,False,
5,114,126,49,A,A,,,14.0,,,,,423,,,,,,False,
17,114,126,45,C,A,,,14.0,,,,,424,,,,,,False,
1,114,127,49,A,A,,,14.0,,,,,425,,,,,,False,
4,114,127,49,A,A,,,14.0,,,,,426,,,,,,False,
5,114,127,49,A,A,,,14.0,,,,,427,,,,,,False,
17,114,127,45,C,A,,,14.0,,,,,428,,,,,,False,
1,114,128,49,A,A,,,14.0,,,,,429,,,,,,False,
4,114,128,49,A,A,,,14.0,,,,,430,,,,,,False,
5,114,128,49,A,A,,,14.0,,,,,431,,,,,,False,
17,114,128,45,C,A,,,14.0,,,,,432,,,,,,False,
1,114,129,49,A,A,,,14.0,,,,,433,,,,,,False,
4,114,129,49,A,A,,,14.0,,,,,434,,,,,,False,
5,114,129,49,A,A,,,14.0,,,,,435,,,,,,False,
17,114,129,45,C,A,,,14.0,,,,,436,,,,,,False,
1,107,131,55,A,A,,,14.0,,,,,441,,,,,,False,
4,107,131,55,A,A,,,14.0,,,,,442,,,,,,False,
5,107,131,55,A,A,,,14.0,,,,,443,,,,,,False,
17,107,131,55,A,A,,,14.0,,,,,444,,,,,,False,
18,227,96,69,C,A,,,15.0,,,,,445,,,,,,False,
1,108,132,40,C,A,,,16.0,,,,,446,,,,,,False,
4,108,132,40,C,A,,,16.0,,,,,447,,,,,,False,
5,108,132,40,C,A,,,16.0,,,,,448,,,,,,False,
17,108,132,39,C,A,,,16.0,,,,,449,,,,,,False,
1,108,133,43,A,A,,,16.0,,,,,450,,,,,,False,
4,108,133,43,A,A,,,16.0,,,,,451,,,,,,False,
5,108,133,43,A,A,,,16.0,,,,,452,,,,,,False,
17,108,133,39,C,A,,,16.0,,,,,453,,,,,,False,
1,108,134,43,A,A,,,16.0,,,,,454,,,,,,False,
4,108,134,43,A,A,,,16.0,,,,,455,,,,,,False,
5,108,134,43,A,A,,,16.0,,,,,456,,,,,,False,
17,108,134,39,C,A,,,16.0,,,,,457,,,,,,False,
1,119,135,47,C,A,,,14.0,,,,,458,,,,,,False,
4,119,135,47,C,A,,,14.0,,,,,459,,,,,,False,
5,119,135,47,C,A,,,14.0,,,,,460,,,,,,False,
17,119,135,45,C,A,,,14.0,,,,,461,,,,,,False,
1,108,136,43,A,A,,,16.0,,,,,462,,,,,,False,
4,108,136,43,A,A,,,16.0,,,,,463,,,,,,False,
5,108,136,43,A,A,,,16.0,,,,,464,,,,,,False,
17,108,136,39,C,A,,,16.0,,,,,465,,,,,,False,
1,108,137,43,A,A,,,16.0,,,,,466,,,,,,False,
4,108,137,43,A,A,,,16.0,,,,,467,,,,,,False,
5,108,137,43,A,A,,,16.0,,,,,468,,,,,,False,
17,108,137,39,C,A,,,16.0,,,,,469,,,,,,False,
1,108,138,43,A,A,,,16.0,,,,,470,,,,,,False,
4,108,138,43,A,A,,,16.0,,,,,471,,,,,,False,
5,108,138,43,A,A,,,16.0,,,,,472,,,,,,False,
17,108,138,39,C,A,,,16.0,,,,,473,,,,,,False,
1,108,139,43,A,A,,,16.0,,,,,478,,,,,,False,
4,108,139,43,A,A,,,16.0,,,,,479,,,,,,False,
5,108,139,43,A,A,,,16.0,,,,,480,,,,,,False,
17,108,139,39,C,A,,,16.0,,,,,481,,,,,,False,
1,108,141,43,A,A,,,16.0,,,,,482,,,,,,False,
4,108,141,43,A,A,,,16.0,,,,,483,,,,,,False,
5,108,141,43,A,A,,,16.0,,,,,484,,,,,,False,
17,108,141,39,C,A,,,16.0,,,,,485,,,,,,False,
1,108,142,43,A,A,,,16.0,,,,,490,,,,,,False,
4,108,142,43,A,A,,,16.0,,,,,491,,,,,,False,
5,108,142,43,A,A,,,16.0,,,,,492,,,,,,False,
17,108,142,39,C,A,,,16.0,,,,,493,,,,,,False,
1,108,143,43,A,A,,,16.0,,,,,494,,,,,,False,
4,108,143,43,A,A,,,16.0,,,,,495,,,,,,False,
5,108,143,43,A,A,,,16.0,,,,,496,,,,,,False,
17,108,143,39,C,A,,,16.0,,,,,497,,,,,,False,
1,99,144,43,A,A,,,14.0,,,,,498,,,,,,False,
4,99,144,43,A,A,,,14.0,,,,,499,,,,,,False,
5,99,144,43,A,A,,,14.0,,,,,500,,,,,,False,
17,99,144,39,C,A,,,14.0,,,,,501,,,,,,False,
1,108,147,43,A,A,,,16.0,,,,,510,,,,,,False,
4,108,147,43,A,A,,,16.0,,,,,511,,,,,,False,
5,108,147,43,A,A,,,16.0,,,,,512,,,,,,False,
17,108,147,39,C,A,,,16.0,,,,,513,,,,,,False,
1,108,148,43,A,A,,,16.0,,,,,514,,,,,,False,
4,108,148,43,A,A,,,16.0,,,,,515,,,,,,False,
