"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.08.2023","121.248","121.945","121.945","120.154","10,30M","-0,57%"
"31.07.2023","121.943","120.188","122.149","120.188","10,12M","1,46%"
"28.07.2023","120.187","120.002","120.660","119.706","8,46M","0,16%"
"27.07.2023","119.990","122.560","122.599","119.825","10,68M","-2,10%"
"26.07.2023","122.560","122.003","122.747","121.370","9,99M","0,45%"
"25.07.2023","122.008","121.344","123.010","121.344","11,43M","0,55%"
"24.07.2023","121.342","120.220","121.772","120.099","10,49M","0,94%"
"21.07.2023","120.217","118.090","120.373","118.086","11,18M","1,81%"
"20.07.2023","118.083","117.558","118.290","117.484","8,99M","0,45%"
"19.07.2023","117.552","117.842","118.011","116.660","9,73M","-0,25%"
"18.07.2023","117.841","118.218","118.732","117.324","8,58M","-0,32%"
"17.07.2023","118.219","117.711","118.302","116.591","8,20M","0,43%"
"14.07.2023","117.711","119.268","119.329","117.526","8,98M","-1,30%"
"13.07.2023","119.264","117.671","119.739","117.668","9,26M","1,36%"
"12.07.2023","117.666","117.557","119.156","117.557","8,94M","0,38%"
"11.07.2023","117.220","117.942","117.942","115.704","10,59M","-0,61%"
"10.07.2023","117.942","118.897","118.897","117.814","8,10M","-0,80%"
"07.07.2023","118.898","117.427","119.549","117.427","10,52M","1,25%"
"06.07.2023","117.426","119.548","119.548","117.096","11,03M","-1,78%"
"05.07.2023","119.549","119.072","120.200","118.688","10,96M","0,40%"
"04.07.2023","119.076","119.673","119.678","118.830","6,56M","-0,50%"
"03.07.2023","119.673","118.092","119.877","118.092","8,91M","1,34%"
"30.06.2023","118.087","118.388","119.447","118.087","13,82M","-0,25%"
"29.06.2023","118.383","116.683","118.623","116.683","11,06M","1,46%"
"28.06.2023","116.681","117.524","117.937","116.560","10,65M","-0,72%"
"27.06.2023","117.523","118.246","119.212","116.561","13,08M","-0,61%"
"26.06.2023","118.243","118.977","119.148","117.491","10,46M","-0,62%"
"23.06.2023","118.977","118.959","119.386","118.178","12,85M","0,04%"
"22.06.2023","118.934","120.420","120.420","118.018","11,83M","-1,23%"
"21.06.2023","120.420","119.623","120.519","119.332","11,74M","0,67%"
"20.06.2023","119.622","119.858","119.858","118.416","10,92M","-0,20%"
"19.06.2023","119.858","118.757","119.939","118.558","6,78M","0,93%"
"16.06.2023","118.758","119.208","119.555","118.487","15,25M","-0,39%"
"15.06.2023","119.221","119.068","119.686","118.693","12,30M","0,13%"
"14.06.2023","119.069","116.753","119.085","116.745","16,94M","1,99%"
"13.06.2023","116.743","117.337","117.924","116.363","12,39M","-0,51%"
"12.06.2023","117.336","117.022","117.735","116.704","12,02M","0,27%"
"09.06.2023","117.019","115.489","117.603","115.489","13,53M","1,33%"
"07.06.2023","115.488","114.610","115.978","114.610","14,02M","0,77%"
"06.06.2023","114.610","112.697","114.783","112.696","15,03M","1,70%"
"05.06.2023","112.696","112.558","113.071","111.736","9,08M","0,12%"
"02.06.2023","112.558","110.568","113.070","110.567","14,55M","1,80%"
"01.06.2023","110.565","108.339","110.745","108.335","14,67M","2,06%"
"31.05.2023","108.335","108.967","109.137","108.193","15,86M","-0,58%"
"30.05.2023","108.967","110.333","111.291","108.552","11,59M","-1,24%"
"29.05.2023","110.333","110.906","111.168","110.195","5,91M","-0,52%"
"26.05.2023","110.906","110.058","111.706","109.900","11,02M","0,77%"
"25.05.2023","110.054","108.800","111.115","108.800","14,75M","1,15%"
"24.05.2023","108.800","109.920","109.920","108.546","12,98M","-1,03%"
"23.05.2023","109.929","110.213","111.325","109.713","12,33M","-0,26%"
"22.05.2023","110.213","110.745","111.643","110.178","11,77M","-0,48%"
"19.05.2023","110.745","110.113","111.211","109.787","16,14M","0,58%"
"18.05.2023","110.108","109.459","110.206","108.864","13,61M","0,59%"
"17.05.2023","109.460","108.194","109.774","108.188","13,99M","1,17%"
"16.05.2023","108.194","109.029","110.151","108.085","16,90M","-0,77%"
"15.05.2023","109.029","108.469","109.271","108.356","11,60M","0,52%"
"12.05.2023","108.464","108.256","108.817","107.497","11,92M","0,19%"
"11.05.2023","108.256","107.446","108.667","106.419","12,77M","0,75%"
"10.05.2023","107.448","107.114","107.744","106.538","13,58M","0,31%"
"09.05.2023","107.114","106.028","107.731","105.549","13,53M","1,01%"
"08.05.2023","106.042","105.161","106.716","105.161","13,26M","0,85%"
"05.05.2023","105.148","102.175","105.306","102.175","16,70M","2,91%"
"04.05.2023","102.174","101.798","103.321","101.063","14,84M","0,37%"
"03.05.2023","101.797","101.927","102.331","101.433","11,69M","-0,13%"
"02.05.2023","101.927","104.431","104.447","101.569","12,02M","-2,40%"
"28.04.2023","104.432","102.923","104.432","102.449","13,09M","1,47%"
"27.04.2023","102.923","102.310","103.177","101.975","11,30M","0,60%"
"26.04.2023","102.312","103.220","103.668","102.233","10,12M","-0,88%"
"25.04.2023","103.220","103.947","103.947","102.633","10,87M","-0,70%"
"24.04.2023","103.947","104.367","104.822","103.247","10,94M","-0,40%"
"20.04.2023","104.367","103.913","104.615","103.087","12,38M","0,44%"
"19.04.2023","103.913","106.149","106.149","103.604","12,71M","-2,12%"
"18.04.2023","106.163","106.023","106.475","105.122","11,21M","0,14%"
"17.04.2023","106.016","106.279","106.830","105.623","10,25M","-0,25%"
"14.04.2023","106.279","106.458","106.701","104.934","11,50M","-0,17%"
"13.04.2023","106.458","106.890","107.037","106.220","12,18M","-0,40%"
"12.04.2023","106.890","106.218","108.277","106.217","17,35M","0,64%"
"11.04.2023","106.214","101.849","106.455","101.848","18,73M","4,29%"
"10.04.2023","101.847","100.822","102.196","100.819","8,15M","1,02%"
"06.04.2023","100.822","100.978","101.628","100.443","9,82M","-0,15%"
"05.04.2023","100.978","101.869","101.960","99.898","13,26M","-0,88%"
"04.04.2023","101.869","101.505","103.056","101.505","11,70M","0,36%"
"03.04.2023","101.506","101.883","101.916","100.651","12,79M","-0,37%"
"31.03.2023","101.882","103.714","104.041","101.476","15,12M","-1,77%"
"30.03.2023","103.713","101.796","104.085","101.796","14,90M","1,89%"
"29.03.2023","101.793","101.185","102.213","100.248","12,46M","0,60%"
"28.03.2023","101.185","99.672","101.559","99.488","13,50M","1,52%"
"27.03.2023","99.670","98.833","99.997","98.833","9,99M","0,85%"
"24.03.2023","98.829","97.926","99.258","97.688","12,41M","0,92%"
"23.03.2023","97.926","100.221","101.126","96.997","15,66M","-2,29%"
"22.03.2023","100.221","100.998","101.888","100.129","11,50M","-0,77%"
"21.03.2023","100.998","100.923","101.670","100.923","9,67M","0,07%"
"20.03.2023","100.923","101.982","102.328","100.679","10,90M","-1,04%"
"17.03.2023","101.982","103.434","103.434","101.664","17,56M","-1,40%"
"16.03.2023","103.435","102.683","103.911","102.455","14,39M","0,74%"
"15.03.2023","102.675","102.930","103.048","100.692","15,25M","-0,25%"
"14.03.2023","102.932","103.121","104.153","102.482","13,13M","-0,18%"
"13.03.2023","103.121","103.608","103.907","102.255","12,99M","-0,48%"
"10.03.2023","103.618","105.071","105.071","103.201","17,95M","-1,38%"
"09.03.2023","105.071","106.540","106.724","105.053","19,17M","-1,38%"
"08.03.2023","106.540","104.228","106.721","104.228","15,90M","2,22%"
"07.03.2023","104.228","104.700","105.179","103.480","12,58M","-0,45%"
"06.03.2023","104.700","103.865","105.171","103.170","14,28M","0,80%"
"03.03.2023","103.866","103.326","104.440","103.323","13,10M","0,52%"
"02.03.2023","103.326","104.375","104.912","103.321","14,74M","-1,01%"
"01.03.2023","104.385","104.933","105.497","103.105","19,85M","-0,52%"
"28.02.2023","104.932","105.706","106.794","104.932","15,67M","-0,74%"
"27.02.2023","105.711","105.807","106.402","105.227","9,57M","-0,08%"
"24.02.2023","105.798","107.582","107.611","105.360","10,22M","-1,67%"
"23.02.2023","107.593","107.152","108.663","106.731","11,46M","0,41%"
"22.02.2023","107.152","109.174","109.174","106.720","9,36M","-1,85%"
"17.02.2023","109.177","109.941","109.941","108.968","10,06M","-0,70%"
"16.02.2023","109.941","109.599","110.437","108.378","13,00M","0,31%"
"15.02.2023","109.600","107.849","110.210","107.267","15,50M","1,62%"
"14.02.2023","107.849","108.839","109.564","107.557","11,89M","-0,91%"
"13.02.2023","108.836","108.074","109.193","107.420","9,97M","0,70%"
"10.02.2023","108.078","108.002","108.647","107.620","14,46M","0,07%"
"09.02.2023","108.008","109.952","110.046","107.767","12,96M","-1,77%"
"08.02.2023","109.951","107.832","110.175","107.830","13,84M","1,97%"
"07.02.2023","107.830","108.727","109.037","107.234","12,96M","-0,82%"
"06.02.2023","108.722","108.518","108.744","107.416","11,51M","0,18%"
"03.02.2023","108.523","110.141","110.570","108.185","13,24M","-1,47%"
"02.02.2023","110.141","112.072","112.943","109.747","15,24M","-1,72%"
"01.02.2023","112.074","113.430","113.598","110.729","17,82M","-1,20%"
"31.01.2023","113.431","112.273","113.691","112.145","12,90M","1,03%"
"30.01.2023","112.273","112.319","112.920","111.824","11,27M","-0,04%"
"27.01.2023","112.316","114.178","114.191","112.044","10,61M","-1,63%"
"26.01.2023","114.178","114.271","114.835","113.591","10,92M","-0,08%"
"25.01.2023","114.270","113.028","114.426","111.927","11,41M","1,10%"
"24.01.2023","113.028","111.746","113.040","111.669","11,55M","1,16%"
"23.01.2023","111.737","112.041","113.061","111.542","13,70M","-0,27%"
"20.01.2023","112.041","112.922","113.025","111.735","15,44M","-0,78%"
"19.01.2023","112.922","112.219","113.172","111.307","15,59M","0,62%"
"18.01.2023","112.228","111.442","113.306","111.441","14,13M","0,71%"
"17.01.2023","111.439","109.214","111.577","109.214","14,36M","2,04%"
"16.01.2023","109.213","110.908","110.908","108.753","12,51M","-1,54%"
"13.01.2023","110.916","111.843","111.847","110.428","15,94M","-0,84%"
"12.01.2023","111.850","112.516","113.129","110.982","19,84M","-0,59%"
"11.01.2023","112.517","110.816","112.552","110.752","14,46M","1,53%"
"10.01.2023","110.817","109.129","111.193","108.478","13,70M","1,55%"
"09.01.2023","109.130","108.964","109.938","108.134","12,05M","0,15%"
"06.01.2023","108.964","107.642","109.433","107.642","12,63M","1,23%"
"05.01.2023","107.641","105.336","107.743","105.333","15,51M","2,19%"
"04.01.2023","105.334","104.167","105.627","103.915","14,45M","1,12%"
"03.01.2023","104.166","106.377","106.684","103.852","14,47M","-2,08%"
"02.01.2023","106.376","109.734","109.734","105.981","8,13M","-3,06%"
"29.12.2022","109.735","110.237","111.178","109.560","13,39M","-0,46%"
"28.12.2022","110.237","108.578","110.536","108.578","11,19M","1,53%"
"27.12.2022","108.578","108.739","109.353","107.418","11,16M","-0,15%"
"26.12.2022","108.738","109.699","109.755","108.309","5,22M","-0,87%"
"23.12.2022","109.698","107.552","109.994","107.552","12,85M","2,00%"
"22.12.2022","107.552","107.436","108.383","106.510","11,49M","0,11%"
"21.12.2022","107.433","106.866","107.991","106.066","17,63M","0,53%"
"20.12.2022","106.864","104.740","107.792","104.607","19,13M","2,03%"
"19.12.2022","104.740","102.859","105.107","102.770","16,77M","1,83%"
"16.12.2022","102.856","103.737","104.018","102.248","18,26M","-0,85%"
"15.12.2022","103.738","103.739","105.483","103.014","15,57M","-0,01%"
"14.12.2022","103.746","103.536","104.516","101.632","24,92M","0,20%"
"13.12.2022","103.540","105.345","106.689","103.409","17,70M","-1,71%"
"12.12.2022","105.343","107.518","107.561","103.877","15,48M","-2,02%"
"09.12.2022","107.520","107.250","108.566","107.089","10,68M","0,25%"
"08.12.2022","107.249","109.068","109.286","106.906","14,92M","-1,67%"
"07.12.2022","109.069","110.188","110.247","108.612","13,83M","-1,02%"
"06.12.2022","110.189","109.403","110.663","109.217","13,44M","0,72%"
"05.12.2022","109.401","111.922","112.150","109.270","12,31M","-2,25%"
"02.12.2022","111.924","110.926","113.761","109.963","15,98M","0,90%"
"01.12.2022","110.926","112.479","112.479","110.548","15,19M","-1,39%"
"30.11.2022","112.486","110.910","112.486","110.202","19,70M","1,42%"
"29.11.2022","110.910","108.784","112.187","108.784","14,72M","1,96%"
"28.11.2022","108.782","108.977","109.476","108.378","11,49M","-0,18%"
"25.11.2022","108.977","111.831","112.025","108.552","12,31M","-2,55%"
"24.11.2022","111.831","108.846","112.612","108.846","10,30M","2,75%"
"23.11.2022","108.841","109.036","109.285","107.902","13,20M","-0,18%"
"22.11.2022","109.037","109.750","110.224","107.867","15,06M","-0,65%"
"21.11.2022","109.748","108.868","110.235","107.957","16,65M","0,81%"
"18.11.2022","108.870","109.706","111.585","108.512","18,77M","-0,76%"
"17.11.2022","109.703","110.241","110.242","107.245","23,12M","-0,49%"
"16.11.2022","110.243","113.166","113.473","109.512","18,35M","-2,58%"
"14.11.2022","113.161","112.256","114.322","111.930","15,08M","0,81%"
"11.11.2022","112.253","109.775","113.010","109.408","25,04M","2,26%"
"10.11.2022","109.775","113.579","113.579","108.516","26,03M","-3,35%"
"09.11.2022","113.580","116.153","116.183","113.110","20,53M","-2,22%"
"08.11.2022","116.160","115.340","117.072","114.688","14,24M","0,71%"
"07.11.2022","115.342","118.148","118.240","115.221","15,22M","-2,38%"
"04.11.2022","118.155","116.907","120.039","116.904","16,21M","1,08%"
"03.11.2022","116.896","116.927","117.373","114.485","15,63M","-0,03%"
"01.11.2022","116.929","116.037","118.261","115.547","17,97M","0,77%"
"31.10.2022","116.037","114.533","116.763","112.113","21,64M","1,31%"
"28.10.2022","114.539","114.636","114.712","113.336","14,39M","-0,09%"
"27.10.2022","114.641","112.766","116.236","112.765","15,53M","1,66%"
"26.10.2022","112.764","114.626","114.626","112.577","16,09M","-1,62%"
"25.10.2022","114.626","116.016","116.203","114.626","14,73M","-1,20%"
"24.10.2022","116.013","119.922","119.924","115.793","13,28M","-3,27%"
"21.10.2022","119.929","117.170","120.752","116.736","18,58M","2,35%"
"20.10.2022","117.171","116.276","117.367","116.276","16,92M","0,77%"
"19.10.2022","116.274","115.744","116.459","115.264","12,73M","0,46%"
"18.10.2022","115.743","113.627","115.795","113.627","14,74M","1,87%"
"17.10.2022","113.624","112.107","114.406","112.090","11,63M","1,38%"
"14.10.2022","112.072","114.301","114.712","111.631","13,10M","-1,95%"
"13.10.2022","114.300","114.819","115.367","112.690","14,58M","-0,46%"
"11.10.2022","114.827","115.928","115.928","114.297","13,14M","-0,96%"
"10.10.2022","115.941","116.377","116.841","115.261","11,43M","-0,37%"
"07.10.2022","116.375","117.560","117.960","115.924","13,62M","-1,01%"
"06.10.2022","117.561","117.200","118.382","117.144","14,52M","0,31%"
"05.10.2022","117.198","116.231","117.514","115.906","13,56M","0,83%"
"04.10.2022","116.230","116.147","118.280","115.837","16,08M","0,08%"
"03.10.2022","116.134","110.048","116.134","110.048","20,98M","5,54%"
"30.09.2022","110.037","107.664","110.502","107.315","16,54M","2,20%"
"29.09.2022","107.664","108.449","108.449","106.244","14,59M","-0,73%"
"28.09.2022","108.451","108.377","108.970","107.914","13,54M","0,07%"
"27.09.2022","108.376","109.122","110.161","108.120","14,52M","-0,68%"
"26.09.2022","109.114","111.713","111.713","109.022","13,13M","-2,33%"
"23.09.2022","111.716","114.070","114.070","110.732","13,54M","-2,06%"
"22.09.2022","114.070","111.942","114.392","111.819","15,68M","1,91%"
"21.09.2022","111.936","112.517","113.294","111.380","14,73M","-0,52%"
"20.09.2022","112.517","111.824","112.544","111.393","12,57M","0,62%"
"19.09.2022","111.824","109.283","111.976","108.508","12,59M","2,33%"
"16.09.2022","109.280","109.951","109.952","108.489","18,84M","-0,61%"
"15.09.2022","109.954","110.547","111.100","109.524","11,62M","-0,54%"
"14.09.2022","110.547","110.794","111.504","110.118","11,63M","-0,22%"
"13.09.2022","110.794","113.398","113.400","110.522","12,61M","-2,30%"
"12.09.2022","113.407","112.307","114.160","112.305","11,71M","0,98%"
"09.09.2022","112.300","109.922","112.540","109.922","12,16M","2,17%"
"08.09.2022","109.916","109.771","110.768","108.619","13,76M","0,14%"
"06.09.2022","109.764","112.203","112.203","109.348","14,30M","-2,17%"
"05.09.2022","112.203","110.868","112.671","110.865","9,52M","1,21%"
"02.09.2022","110.864","110.409","112.264","110.409","16,69M","0,42%"
"01.09.2022","110.405","109.524","110.405","108.217","14,48M","0,81%"
"31.08.2022","109.523","110.431","111.364","109.523","14,79M","-0,82%"
"30.08.2022","110.431","112.323","112.869","110.103","11,94M","-1,68%"
"29.08.2022","112.323","112.296","113.222","111.689","9,80M","0,02%"
"26.08.2022","112.299","113.533","114.091","111.978","11,16M","-1,09%"
"25.08.2022","113.532","112.898","114.156","112.768","11,84M","0,56%"
"24.08.2022","112.898","112.856","113.888","112.632","13,76M","0,04%"
"23.08.2022","112.857","110.504","112.965","110.503","11,89M","2,13%"
"22.08.2022","110.501","111.487","111.487","109.858","11,01M","-0,89%"
"19.08.2022","111.496","113.807","113.807","111.146","12,68M","-2,04%"
"18.08.2022","113.813","113.708","114.375","113.304","10,64M","0,09%"
"17.08.2022","113.708","113.508","114.146","112.483","14,65M","0,17%"
"16.08.2022","113.512","113.034","113.626","112.690","12,99M","0,43%"
"15.08.2022","113.032","112.767","113.214","111.067","15,55M","0,24%"
"12.08.2022","112.764","109.718","112.764","109.718","18,70M","2,78%"
"11.08.2022","109.718","110.236","111.310","109.604","14,94M","-0,47%"
"10.08.2022","110.236","108.658","110.362","108.657","13,38M","1,46%"
"09.08.2022","108.651","108.403","109.331","107.842","12,15M","0,23%"
"08.08.2022","108.402","106.473","108.489","106.473","12,67M","1,81%"
"05.08.2022","106.472","105.893","107.176","105.518","12,95M","0,55%"
"04.08.2022","105.892","103.777","106.162","103.777","15,50M","2,04%"
"03.08.2022","103.775","103.362","103.878","102.822","12,38M","0,40%"
"02.08.2022","103.362","102.225","103.660","101.694","10,12M","1,11%"
"01.08.2022","102.225","103.165","103.317","101.764","11,63M","-0,91%"
"29.07.2022","103.165","102.597","103.989","102.514","12,93M","0,55%"
"28.07.2022","102.597","101.437","102.686","101.045","11,13M","1,14%"
"27.07.2022","101.438","99.773","101.471","99.772","10,26M","1,67%"
"26.07.2022","99.772","100.270","100.753","99.365","9,14M","-0,50%"
"25.07.2022","100.270","98.926","100.508","98.925","8,62M","1,36%"
"22.07.2022","98.925","99.034","99.724","98.321","10,03M","-0,11%"
"21.07.2022","99.033","98.286","99.057","97.088","10,06M","0,76%"
"20.07.2022","98.287","98.244","98.366","97.277","12,94M","0,04%"
"19.07.2022","98.245","96.920","98.346","96.917","10,30M","1,37%"
"18.07.2022","96.916","96.553","98.291","96.553","10,74M","0,38%"
"15.07.2022","96.551","96.119","96.971","95.267","11,35M","0,45%"
"14.07.2022","96.121","97.879","97.879","95.431","12,58M","-1,80%"
"13.07.2022","97.881","98.258","98.928","97.403","12,21M","-0,40%"
"12.07.2022","98.271","98.212","98.737","97.253","12,57M","0,06%"
"11.07.2022","98.212","100.282","100.282","97.854","8,89M","-2,07%"
"08.07.2022","100.289","100.732","101.577","99.958","9,73M","-0,44%"
"07.07.2022","100.730","98.722","101.420","98.722","12,70M","2,04%"
"06.07.2022","98.719","98.294","99.141","97.423","13,35M","0,43%"
"05.07.2022","98.295","98.608","98.608","96.499","13,36M","-0,32%"
"04.07.2022","98.609","98.952","99.353","98.264","6,28M","-0,35%"
"01.07.2022","98.954","98.542","99.340","97.231","11,61M","0,42%"
"30.06.2022","98.542","99.619","99.619","97.758","14,59M","-1,08%"
"29.06.2022","99.622","100.592","101.313","99.218","10,45M","-0,96%"
"28.06.2022","100.591","100.766","102.237","99.956","10,49M","-0,17%"
"27.06.2022","100.764","98.673","101.106","98.672","9,90M","2,12%"
"24.06.2022","98.672","98.081","99.313","98.031","10,35M","0,60%"
"23.06.2022","98.080","99.523","100.232","97.775","12,41M","-1,45%"
"22.06.2022","99.522","99.678","100.374","98.050","11,68M","-0,16%"
"21.06.2022","99.685","99.854","101.069","99.167","11,07M","-0,17%"
"20.06.2022","99.853","99.824","100.481","98.409","10,90M","0,03%"
