IdSerie,IdCurso,NomeSerie,IdProximaSerie,IdServicoMensalidade,QuantidadeDependencias,CodigoSerie,StPermiteMatriculaRepetida,TIAcodigo,StSerieDependencia,IdSituacaoAlunoTurmaCursando,IdSituacaoAlunoTurmaAprovado,IdSituacaoAlunoTurmaPParcial,IdSituacaoAlunoTurmaReprovado,StFreqPermitirSaidaSozinho,_StSerieComTurmasAlternativas,StSerieUtilizaAvaliacaoNota,StSerieUtilizaAvaliacaoRelatorio,StSerieUtilizaAvaliacaoMeta,Reserva_IdServico,Reserva_QtdeDiasValidade,StExibirDiarioModuloInternet,StExibirConteudoProgramaticoInternet,IdEstabelecimentoEnsino,StRecalculaMatriculaIdentificadoraEnturmacao,PrefixoMatricula,StPermiteAcessoPortalEducacional,StExibirSerieNotasModuloInternet,TipoSerieAlternativa,InscrTurma_QtdeDiasUteisSolicitacaoValida,IntegPortal_CodigoSerie,StModeloSistemaAvaliacao,StSerieUtilizaRotinaEducacaoInfantil,Educacenso_CodigoSerie,StIntegracaoAppComunicacao,StDisponivelModuloCaptacaoAlunos,IdFormularioRotinaEducacaoInfantil,ItFor_StDisponivelMatricular,ItFor_StDisponivelMatricularAlunoPortalWeb,ItFor_IdPeriodo,ItFor_QuantidadeMinimaDisciplinas,ItFor_QuantidadeMaximaDisciplinas,ItFor_IdSituacaoAlunoTurmaAposMatricula,ItFor_QuantidadeMinimaTrilhas,ItFor_QuantidadeMaximaTrilhas,StExibirTarefaAvaliacaoPortalWeb,StGerarHistoricoInfantil,NotaAlunoHistoricoInfantil
42,10,English Changes Lives - Atividade com voluntários,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,False,False,,False, ,False,False,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
43,10,Aulas de Coreano,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,False,,False, ,False,True,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
44,10,Lendo Clássicos,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,False,,False, ,False,True,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
45,10,Encontro com Carinho,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,True,,False, ,False,True,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
46,10,Minha 1ª volta ao Mundo,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,False,,False, ,False,True,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
47,10,Eu no Comando,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,False,,False, ,False,True,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
48,10,Raciocínio Lógico,,34,0,00,False,,False,1,9,12,10,False,False,False,True,True,,,True,False,,False, ,False,True,1,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
49,10,TOEIC Test Preparation,,34,0,00,False,,False,1,9,12,10,False,False,False,True,True,,,True,True,,False, ,False,False,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
50,10,English Plus - Bolsistas União,,34,0,00,False,,False,1,9,12,10,False,False,False,False,False,,,True,False,,False, ,False,True,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
51,10,Speed Up,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,True,,False, ,False,True,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
52,10,Acompanhamento Bolsistas União (Joe),,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,False,,False, ,False,True,2,0,,False,True,,False,False,1.0,False,False,,,,,,,True,False,
54,11,INGLÊS,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False,,False,True,1,0,,False,True,,False,False,1.0,True,False,5.0,1.0,1.0,1.0,0.0,0.0,True,False,
55,10,Matematicamente,,34,0,00,False,,False,1,9,12,10,False,False,False,True,False,,,True,True,,False, ,False,False,1,0,,False,False,,False,False,,False,False,,,,,,,True,False,
56,10,Inglês Universitários,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,True,True,,False, ,True,False,1,0,,False,False,,False,False,,False,False,,,,,,,True,False,
57,10,Tecnologia FIAP,,34,0,00,False,,False,1,9,12,10,False,False,False,True,True,,,True,True,,False, ,True,False,2,0,,False,False,,True,False,,False,False,,,,,,,True,False,
58,-1,PASSOSMAGICOS 2023,,-1,0,00,False,,False,1,9,12,10,False,False,True,False,False,,,False,False,,False,,False,False,2,0,,True,False,,False,False,,False,False,,,,,,,True,False,
59,12,Psicologia,,34,0,00,False,,False,1,9,12,10,False,False,True,True,True,,,True,False,,False, ,False,True,1,0,,False,False,,False,False,,False,False,,,,,,,True,False,
60,13,Fase 9,,34,0,n19,False,,False,1,9,12,10,False,False,False,True,False,,,False,False,,False, ,False,False,2,0,,False,False,41.0,False,False,,False,False,,,,,,,True,False,
61,-1,PASSOSMAGICOS 2023,,-1,0,00,False,,False,1,9,12,10,False,False,True,False,False,,,False,False,,False,,False,False,2,0,,True,False,,False,False,,False,False,,,,,,,True,False,
62,10,Robótica,38.0,34,0,00,False,,False,1,9,12,10,False,False,True,True,False,,,True,True,,False, ,False,False,2,0,,False,False,,False,False,,False,False,,,,,,,True,False,
