IdFaseNota,IdPeriodo,IdSerie,NumeroFase,NomeFase,CabecBoletim,ImprimirBoletimNotaParcial,ImprimirBoletimNPNaoConfirmada,ImprimirBoletimNota,ImprimirBoletimFaltas,StFaseInformada,StCalcularDisciplinaComposta,IdFormulaComposicaoNota,IdFormulaNota,MediaMinimaAprovacao,ValorArredondamentoMedia,IdFormulaAprovacao,IdFormulaFalta,IdFaseNotaAprovacao,IdFaseNotaReprovacao,DataInicioExibicao,NumeroOrdemExibicao,NumeroSemanasLetivas,StCalcularSituacaoGeral,IdFormulaAprovacaoFrequencia,ValorNotaMaxima,DataInicialPeriodoAula,DataFinalPeriodoAula,StCalcDiscCompUtilizaFormulaFN,DataLimiteDigitacaoNota,NumeroDiasLetivos,StDispensarNotaAutomatica,TipoDispensaAutomatica,StConfirmarDispensaAutomatica,SituacaoReprovadoFrequencia,SituacaoAprovado,SituacaoReprovado,StFaseNotaSempreCalcular,TipoInformada,StPermiteProfessorImportarPadraoAvaliacao,StPermiteProfessorInserirEditarAvaliacao,StPermiteProfessorInserirBloco
11,3,8,4,4ª Unidade,4ª Un,False,False,True,True,True,False,28.0,,0.00,0.00,31.0,,12.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
12,3,8,5,Média Anual,MA,False,False,True,True,False,False,,29.0,0.00,0.00,32.0,,14.0,13.0,,5,,False,,10.00,,,False,,,False,,False,,,,False,FormulaComposicao,True,True,True
13,3,8,6,Recuperação Final,RF,False,False,True,True,True,False,28.0,,0.00,0.00,31.0,,14.0,,,6,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
14,3,8,7,Média Final,MF,False,False,True,True,False,False,,30.0,0.00,0.00,33.0,35.0,,,,7,,False,34.0,10.00,,,False,,,False,,False,R,A,R,False,FormulaComposicao,True,True,True
15,4,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,16.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
16,4,2,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,17.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
17,4,2,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,18.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
18,4,2,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,20.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
19,4,2,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
20,4,2,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,19.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
21,4,8,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,22.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
22,4,8,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,23.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
23,4,8,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,24.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
24,4,8,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,26.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
25,4,8,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
26,4,8,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,25.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
27,4,11,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,28.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
28,4,11,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,29.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
29,4,11,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,30.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
30,4,11,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,32.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
31,4,11,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
32,4,11,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,31.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
33,4,15,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,34.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
34,4,15,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,35.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
35,4,15,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,36.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
36,4,15,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,38.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
37,4,15,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
38,4,15,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,37.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
39,4,25,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,40.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
40,4,25,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,41.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
41,4,25,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,42.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
42,4,25,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,44.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
43,4,25,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
44,4,25,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,43.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
45,4,24,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,46.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
46,4,24,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,47.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
47,4,24,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,48.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
48,4,24,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,50.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
49,4,24,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
50,4,24,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,49.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
51,4,29,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,52.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
52,4,29,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,53.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
53,4,29,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,54.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
54,4,29,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,56.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
55,4,29,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
56,4,29,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,55.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
57,4,32,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,58.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
58,4,32,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,59.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
59,4,32,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,60.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
60,4,32,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,62.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
61,4,32,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
62,4,32,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,61.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
63,4,18,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,6.00,,39.0,,64.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
64,4,18,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,65.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
65,4,18,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,66.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
66,4,18,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,6.00,,39.0,,68.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
67,4,18,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
68,4,18,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,67.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
69,4,50,1,2º SEMESTRE,SEM,False,False,True,True,True,False,46.0,,,,39.0,,,,,1,,False,42.0,10.00,,,False,,,False,,False,R,A,R,False,FormulaComposicao,True,True,True
70,4,52,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,44.0,,,,39.0,,71.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
71,4,52,2,1º SEMESTRE,1ºSEMESTRE,True,False,True,True,True,False,36.0,,,,39.0,,72.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
72,4,52,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,73.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
73,4,52,4,DIAGNOSTICA 2,DIG2,False,False,False,False,True,False,45.0,,,,39.0,,75.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
74,4,52,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
75,4,52,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,False,True,False,False,,38.0,,,39.0,,74.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
76,4,38,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,77.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
77,4,38,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,78.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
78,4,38,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,79.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
79,4,38,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,81.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
80,4,38,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
81,4,38,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,80.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
82,4,41,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,83.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
83,4,41,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,84.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
84,4,41,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,85.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
85,4,41,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,87.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
86,4,41,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
87,4,41,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,86.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
88,4,33,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,89.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
89,4,33,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,90.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
90,4,33,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,91.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
91,4,33,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,93.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
92,4,33,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
93,4,33,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,92.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
94,4,43,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,95.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
95,4,43,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,96.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
96,4,43,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,97.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
97,4,43,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,99.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
98,4,43,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
99,4,43,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,98.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
100,4,37,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,101.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
101,4,37,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,102.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
102,4,37,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,103.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
103,4,37,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,105.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
104,4,37,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
105,4,37,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,104.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
106,4,35,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,107.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
107,4,35,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,108.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
108,4,35,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,109.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
109,4,35,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,111.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
110,4,35,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
111,4,35,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,110.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
112,4,45,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,113.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
113,4,45,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,114.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
114,4,45,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,115.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
115,4,45,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,117.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
116,4,45,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
117,4,45,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,116.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
118,4,42,1,DIAGNOSTICA 1,DIG1,False,False,True,False,True,False,44.0,,,,39.0,,119.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
119,4,42,2,1º SEMESTRE,1º SEM,True,False,True,True,True,False,36.0,,,,39.0,,120.0,,,2,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
120,4,42,3,2º SEMESTRE,2º SEM,True,False,True,True,True,False,46.0,,,,39.0,,121.0,,,3,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
121,4,42,4,DIAGNOSTICA 2,DIG2,False,False,True,False,True,False,45.0,,,,39.0,,123.0,,,4,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
122,4,42,6,MÉDIA ANUAL,MÉDIA,False,False,True,False,False,False,,37.0,,,39.0,,,,,6,,False,,10.00,,,False,,,False,,False,,A,R,False,FormulaComposicao,True,True,True
123,4,42,5,MÉDIA DIAGNÓSTICA,MED DIG,False,False,True,True,False,False,,38.0,,,39.0,,122.0,,,5,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
124,4,44,1,1° Semestre,1° SEM,False,False,True,True,True,False,36.0,,,,39.0,,125.0,,,1,,False,,10.00,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True
125,4,44,2,2° SEMESTRE,2° SEM,False,False,True,True,True,False,46.0,,,,39.0,,,,,2,,False,42.0,10.00,,,False,,,False,,False,RF,A,R,False,FormulaComposicao,True,True,True
126,4,47,1,2° SEMESTRE,2° SEM,False,False,True,True,True,False,46.0,,,,39.0,,,,,1,,False,42.0,10.00,,,False,,,False,,False,RF,A,R,False,FormulaComposicao,True,True,True
127,4,40,1,2° SEMESTRE,2° SEM,False,False,True,True,True,False,46.0,,,,39.0,,,,,1,,False,42.0,10.00,,,False,,,False,,False,RF,A,R,False,FormulaComposicao,True,True,True
128,4,34,1,2° SEMESTRE,02° SEM,False,False,True,True,True,False,46.0,,,,39.0,,,,,1,,False,42.0,10.00,,,False,,,False,,False,RF,A,R,False,FormulaComposicao,True,True,True
129,4,46,1,2° SEMESTRE,2°SEM,False,False,True,True,True,False,46.0,,,,39.0,,,,,1,,False,42.0,10.00,,,False,,,False,,False,RF,A,R,False,FormulaComposicao,True,True,True
130,4,36,1,2° SEMESTRE,2° SEM,False,False,True,True,True,False,46.0,,,,,,,,,1,,False,42.0,10.00,,,False,,,False,,False,R,A,R,False,FormulaComposicao,True,True,True
