IdPais,NomePais,SiglaPais,Educacenso_CodigoPais
172,Eslovénia,SVN,705.0
173,Ilhas Salomão,SLB,90.0
174,Somália,SOM,706.0
175,África do Sul,ZAF,710.0
176,Espanha,ESP,724.0
177,Sri Lanka,LKA,144.0
178,São Cristóvão e Nevis,KNA,659.0
179,Santa Lúcia,LCA,662.0
180,Sudão,SDN,729.0
181,Suriname,SUR,740.0
182,Suazilândia,SWZ,748.0
183,Suécia,SWE,752.0
184,Suíça,CHE,756.0
185,"Síria, República Árabe da",SYR,760.0
186,Taiwan,TWN,158.0
187,Tajiquistão,TJK,762.0
188,"Tanzânia, República da",TZA,834.0
189,Tailândia,THA,764.0
190,Togo,TGO,768.0
191,Tonga,TON,776.0
192,Trindade e Tobago,TTO,780.0
193,Tunísia,TUN,788.0
194,Turquia,TUR,792.0
195,Turquemenistão,TKM,795.0
196,Tuvalu,TUV,798.0
197,Uganda,UGA,800.0
198,República Ucrânia,UKR,804.0
199,Emiratos Árabes Unidos,ARE,784.0
200,Reino Unido,GBR,826.0
201,Uruguai,URY,858.0
202,Estados Unidos da América,USA,840.0
203,Usbequistão,UZB,860.0
204,Vanuatu,VUT,548.0
205,Venezuela,VEN,862.0
206,Vietname,VNM,704.0
207,Republica Árabe do Iémen,YEM,887.0
208,Zâmbia,ZMB,894.0
209,Zimbabwe,ZWE,716.0
