IdSerie,IdDisciplina,IdPeriodo,TipoComposicao,IdFormulaComposicao,IdDisciplinaComposicao,OrdemBoletim,RequerNota,CargaHorariaSemanal,TipoAula,StUsaNotaConceito,StExibirBoletim,StExibirAtaResultadosFinais,StExibirHistorico,ConteudoProgramatico,IdMetaConjunto,IdGradeCurricular,CargaHorariaAnual,IdDisciplinaAlternativa,ConteudoProgramatico_HTML,NovoEnsinoMedio_GrupoEstruturaCurricular,NovoEnsinoMedio_AreaConhecimento,QtdeAulaSemanal_HoraMinuto,_CargaHorariaDiaria_HoraMinuto,CargaHorariaAnual_HoraMinuto,CargaHorariaAula_HoraMinuto
25,1,5,N,,,1,True,1.0,,False,True,True,False,,,75,,,,,,,,,
25,4,5,N,,,2,True,1.0,,False,True,True,False,,,78,,,,,,,,,
25,5,5,N,,,4,True,,,False,True,True,True,,,130,,,,,,,,,
25,17,5,N,,,3,False,1.0,,False,False,True,True,,,96,,,,,,,,,
25,18,5,N,,,5,False,,,False,False,False,False,,,140,,,,,,,,,
29,1,5,N,,,1,True,1.0,,False,True,True,False,,,76,,,,,,,,,
29,4,5,N,,,2,True,1.0,,False,True,True,False,,,77,,,,,,,,,
29,5,5,N,,,4,True,,,False,True,True,True,,,132,,,,,,,,,
29,17,5,N,,,3,False,1.0,,False,False,True,True,,,95,,,,,,,,,
29,18,5,N,,,5,False,,,False,False,False,False,,,142,,,,,,,,,
32,1,5,N,,,1,True,1.0,,False,True,True,False,,,74,,,,,,,,,
32,4,5,N,,,2,True,1.0,,False,True,True,False,,,79,,,,,,,,,
32,5,5,N,,,4,True,,,False,True,True,True,,,133,,,,,,,,,
32,17,5,N,,,3,False,1.0,,False,False,True,True,,,94,,,,,,,,,
32,18,5,N,,,5,False,,,False,False,False,False,,,143,,,,,,,,,
33,18,5,N,,,4,False,1.0,,False,False,True,False,,,97,,,,,,,,,
34,18,5,N,,,13,False,1.0,,False,False,True,False,,,98,,,,,,,,,
35,18,5,N,,,7,False,1.0,,False,False,True,False,,,99,,,,,,,,,
36,18,5,N,,,15,False,,,False,False,True,False,,,100,,,,,,,,,
37,18,5,N,,,5,False,1.0,,False,False,True,False,,,101,,,,,,,,,
38,18,5,N,,,1,False,1.0,,False,False,True,False,,,102,,,,,,,,,
40,18,5,N,,,10,False,1.0,,False,False,True,False,,,103,,,,,,,,,
41,18,5,N,,,2,False,1.0,,False,False,False,False,,,104,,,,,,,,,
42,18,5,N,,,9,False,1.0,,False,False,True,False,,,105,,,,,,,,,
43,18,5,N,,,4,False,1.0,,False,False,True,False,,,106,,,,,,,,,
44,18,5,N,,,12,False,1.0,,False,False,False,False,,,107,,,,,,,,,
45,18,5,N,,,7,False,,,False,False,True,False,,,108,,,,,,,,,
46,18,5,N,,,14,False,,,False,False,True,False,,,109,,,,,,,,,
47,18,5,N,,,9,False,,,False,False,True,False,,,110,,,,,,,,,
48,18,5,N,,,17,False,1.0,,False,False,True,False,,,111,,,,,,,,,
49,18,5,N,,,5,False,1.0,,False,False,False,False,,,127,,,,,,,,,
50,18,5,N,,,2,False,1.0,,False,False,True,False,,,113,,,,,,,,,
51,18,5,N,,,5,False,1.0,,False,True,True,False,,,114,,,,,,,,,
52,18,5,N,,,19,False,,,False,False,True,False,,,115,,,,,,,,,
54,5,5,N,,,1,True,,,False,True,True,True,,,119,,,,,,,,,
55,18,5,N,,,1,True,,,False,True,True,True,,,125,,,,,,,,,
56,18,5,N,,,3,False,1.0,,False,True,True,True,,,128,,,,,,,,,
57,18,5,N,,,1,True,,,False,True,True,True,,,135,,,,,,,,,
2,1,6,N,,,2,True,1.0,,False,True,True,False,,,150,,,,,,,,,
2,4,6,N,,,1,True,1.0,,False,True,True,False,,,151,,,,,,,,,
2,16,6,N,,,3,True,1.0,,False,False,False,False,,,152,,,,,,,,,
8,1,6,N,,,2,True,1.0,,False,True,True,False,,,153,,,,,,,,,
8,4,6,N,,,1,True,1.0,,False,True,True,False,,,154,,,,,,,,,
8,19,6,N,,,3,True,,,False,False,False,True,,,155,,,,,,,,,
11,1,6,N,,,2,True,1.0,,False,True,True,False,,,156,,,,,,,,,
11,4,6,N,,,1,True,1.0,,False,True,True,False,,,165,,,,,,,,,
11,24,6,N,,,3,True,,,False,False,False,True,,,171,,,,,,,,,
15,1,6,N,,,2,True,1.0,,False,True,True,False,,,157,,,,,,,,,
15,4,6,N,,,1,True,1.0,,False,True,True,False,,,164,,,,,,,,,
15,5,6,N,,,3,True,,,False,True,True,True,,,166,,,,,,,,,
15,21,6,N,,,4,True,,,False,False,False,True,,,172,,,,,,,,,
24,1,6,N,,,2,True,1.0,,False,True,True,False,,,158,,,,,,,,,
24,4,6,N,,,1,True,1.0,,False,True,True,False,,,163,,,,,,,,,
24,5,6,N,,,3,True,,,False,True,True,True,,,167,,,,,,,,,
24,23,6,N,,,5,True,,,False,False,False,True,,,174,,,,,,,,,
24,25,6,N,,,4,True,,,False,False,True,True,,,193,,,,,,,,,
25,1,6,N,,,2,True,1.0,,False,True,True,False,,,145,,,,,,,,,
25,4,6,N,,,1,True,1.0,,False,True,True,False,,,146,,,,,,,,,
25,5,6,N,,,3,True,,,False,True,True,True,,,147,,,,,,,,,
25,22,6,N,,,4,True,,,False,False,False,True,,,173,,,,,,,,,
29,1,6,N,,,2,True,1.0,,False,True,True,False,,,159,,,,,,,,,
29,4,6,N,,,1,True,1.0,,False,True,True,False,,,162,,,,,,,,,
29,5,6,N,,,3,True,,,False,True,True,True,,,168,,,,,,,,,
29,17,6,N,,,5,True,,,False,False,False,True,,,175,,,,,,,,,
29,25,6,N,,,4,True,,,False,False,True,True,,,195,,,,,,,,,
32,1,6,N,,,2,True,1.0,,False,True,True,False,,,160,,,,,,,,,
32,4,6,N,,,1,True,1.0,,False,True,True,False,,,161,,,,,,,,,
32,5,6,N,,,3,True,,,False,True,True,True,,,169,,,,,,,,,
32,25,6,N,,,4,True,,,False,False,False,True,,,176,,,,,,,,,
38,18,6,N,,,1,True,1.0,,False,False,True,False,,,194,,,,,,,,,
54,5,6,N,,,1,True,,,False,True,True,True,,,170,,,,,,,,,
57,18,6,N,,,1,True,,,False,True,True,True,,,196,,,,,,,,,
59,25,6,N,,,1,True,,,False,True,True,True,,,177,,,,,,,,,
2,1,7,N,,,2,True,1.0,,False,True,True,False,,,197,,,,,,,,,
2,4,7,N,,,1,True,1.0,,False,True,True,False,,,212,,,,,,,,,
2,16,7,N,,,3,True,1.0,,False,False,False,False,,,219,,,,,,,,,
8,1,7,N,,,2,True,1.0,,False,True,True,False,,,198,,,,,,,,,
8,4,7,N,,,1,True,1.0,,False,True,True,False,,,211,,,,,,,,,
8,19,7,N,,,3,True,,,False,False,False,True,,,223,,,,,,,,,
11,1,7,N,,,2,True,1.0,,False,True,True,False,,,204,,,,,,,,,
11,4,7,N,,,1,True,1.0,,False,True,True,False,,,205,,,,,,,,,
11,24,7,N,,,3,True,,,False,False,False,True,,,227,,,,,,,,,
15,1,7,N,,,2,True,1.0,,False,True,True,False,,,199,,,,,,,,,
15,4,7,N,,,1,True,1.0,,False,True,True,False,,,210,,,,,,,,,
15,5,7,N,,,3,True,,,False,True,True,True,,,213,,,,,,,,,
15,21,7,N,,,4,True,,,False,False,False,True,,,224,,,,,,,,,
24,1,7,N,,,2,True,1.0,,False,True,True,False,,,200,,,,,,,,,
24,4,7,N,,,1,True,1.0,,False,True,True,False,,,209,,,,,,,,,
24,5,7,N,,,3,True,,,False,True,True,True,,,214,,,,,,,,,
24,23,7,N,,,5,True,,,False,False,False,True,,,226,,,,,,,,,
24,25,7,N,,,4,True,,,False,False,True,True,,,231,,,,,,,,,
25,1,7,N,,,2,True,1.0,,False,True,True,False,,,201,,,,,,,,,
25,4,7,N,,,1,True,1.0,,False,True,True,False,,,208,,,,,,,,,
25,5,7,N,,,3,True,,,False,True,True,True,,,215,,,,,,,,,
25,22,7,N,,,4,True,,,False,False,False,True,,,225,,,,,,,,,
29,1,7,N,,,2,True,1.0,,False,True,True,False,,,202,,,,,,,,,
29,4,7,N,,,1,True,1.0,,False,True,True,False,,,207,,,,,,,,,
29,5,7,N,,,3,True,,,False,True,True,True,,,216,,,,,,,,,
29,17,7,N,,,5,True,,,False,False,False,True,,,220,,,,,,,,,
29,25,7,N,,,4,True,,,False,False,True,True,,,229,,,,,,,,,
32,1,7,N,,,2,True,1.0,,False,True,True,False,,,203,,,,,,,,,
32,4,7,N,,,1,True,1.0,,False,True,True,False,,,206,,,,,,,,,
32,5,7,N,,,3,True,,,False,True,True,True,,,217,,,,,,,,,
32,25,7,N,,,4,True,,,False,False,False,True,,,230,,,,,,,,,
38,18,7,N,,,1,True,1.0,,False,False,True,False,,,222,,,,,,,,,
54,5,7,N,,,1,True,,,False,True,True,True,,,218,,,,,,,,,
57,18,7,N,,,1,True,,,False,True,True,True,,,221,,,,,,,,,
59,25,7,N,,,1,True,,,False,True,True,True,,,228,,,,,,,,,
