IdMunicipio,NomeMunicipio,UF,CodigoIBGE
99,ALCINÓPOLIS,MS,5000252
100,ALCOBAÇA,BA,2900801
101,ALDEIAS ALTAS,MA,2100303
102,ALECRIM,RS,4300307
103,ALEGRE,ES,3200201
104,ALEGRETE,RS,4300406
105,ALEGRETE DO PIAUÍ,PI,2200277
106,ALEGRIA,RS,4300455
107,ALÉM PARAÍBA,MG,3101508
108,ALENQUER,PA,1500404
109,ALEXANDRIA,RN,2400505
110,ALEXÂNIA,GO,5200308
111,ALFENAS,MG,3101607
112,ALFREDO CHAVES,ES,3200300
113,ALFREDO MARCONDES,SP,3500808
114,ALFREDO VASCONCELOS,MG,3101631
115,ALFREDO WAGNER,SC,4200705
116,ALGODÃO DE JANDAÍRA,PB,2500577
117,ALHANDRA,PB,2500601
118,ALIANÇA,PE,2600708
119,ALIANÇA DO TOCANTINS,TO,1700350
120,ALMADINA,BA,2900900
121,ALMAS,TO,1700400
122,ALMEIRIM,PA,1500503
123,ALMENARA,MG,3101706
124,ALMINO AFONSO,RN,2400604
125,ALMIRANTE TAMANDARÉ,PR,4100400
126,ALMIRANTE TAMANDARÉ DO SUL,RS,4300471
127,ALOÂNDIA,GO,5200506
128,ALPERCATA,MG,3101805
129,ALPESTRE,RS,4300505
130,ALPINÓPOLIS,MG,3101904
131,ALTA FLORESTA,MT,5100250
132,ALTA FLORESTA D OESTE,RO,1100015
133,ALTAIR,SP,3500907
134,ALTAMIRA,PA,1500602
135,ALTAMIRA DO MARANHÃO,MA,2100402
136,ALTAMIRA DO PARANÁ,PR,4100459
137,ALTANEIRA,CE,2300606
138,ALTEROSA,MG,3102001
139,ALTINHO,PE,2600807
140,ALTINÓPOLIS,SP,3501004
141,ALTO ALEGRE,SP,3501103
142,ALTO ALEGRE,RR,1400050
143,ALTO ALEGRE,RS,4300554
144,ALTO ALEGRE DO MARANHÃO,MA,2100436
145,ALTO ALEGRE DO PINDARÉ,MA,2100477
146,ALTO ALEGRE DOS PARECIS,RO,1100379
147,ALTO ARAGUAIA,MT,5100300
148,ALTO BELA VISTA,SC,4200754
149,ALTO BOA VISTA,MT,5100359
150,ALTO CAPARAÓ,MG,3102050
151,ALTO DO RODRIGUES,RN,2400703
152,ALTO FELIZ,RS,4300570
153,ALTO GARÇAS,MT,5100409
154,ALTO HORIZONTE,GO,5200555
155,ALTO JEQUITIBÁ,MG,3153509
156,ALTO LONGÁ,PI,2200301
157,ALTO PARAGUAI,MT,5100508
158,ALTO PARAÍSO,PR,4128625
159,ALTO PARAÍSO,RO,1100403
160,ALTO PARAÍSO DE GOIÁS,GO,5200605
161,ALTO PARANÁ,PR,4100608
162,ALTO PARNAÍBA,MA,2100501
163,ALTO PIQUIRI,PR,4100707
164,ALTO RIO DOCE,MG,3102100
165,ALTO RIO NOVO,ES,3200359
166,ALTO SANTO,CE,2300705
167,ALTO TAQUARI,MT,5100607
168,ALTÔNIA,PR,4100509
169,ALTOS,PI,2200400
170,ALUMÍNIO,SP,3501152
171,ALVARÃES,AM,1300029
172,ALVARENGA,MG,3102209
173,ÁLVARES FLORENCE,SP,3501202
174,ÁLVARES MACHADO,SP,3501301
175,ÁLVARO DE CARVALHO,SP,3501400
176,ALVINLÂNDIA,SP,3501509
177,ALVINÓPOLIS,MG,3102308
178,ALVORADA,TO,1700707
179,ALVORADA,RS,4300604
180,ALVORADA D OESTE,RO,1100346
181,ALVORADA DE MINAS,MG,3102407
182,ALVORADA DO GURGUÉIA,PI,2200459
183,ALVORADA DO NORTE,GO,5200803
184,ALVORADA DO SUL,PR,4100806
185,AMAJARI,RR,1400027
186,AMAMBAÍ,MS,5000609
187,AMAPÁ,AP,1600105
188,AMAPÁ DO MARANHÃO,MA,2100550
189,AMAPORÃ,PR,4100905
190,AMARAJI,PE,2600906
191,AMARAL FERRADOR,RS,4300638
192,AMARALINA,GO,5200829
193,AMARANTE,PI,2200509
194,AMARANTE DO MARANHÃO,MA,2100600
195,AMARGOSA,BA,2901007
196,AMATURÁ,AM,1300060
197,AMÉLIA RODRIGUES,BA,2901106
198,AMÉRICA DOURADA,BA,2901155
199,AMERICANA,SP,3501608
200,AMERICANO DO BRASIL,GO,5200852
201,AMÉRICO BRASILIENSE,SP,3501707
202,AMÉRICO DE CAMPOS,SP,3501806
203,AMETISTA DO SUL,RS,4300646
204,AMONTADA,CE,2300754
205,AMORINÓPOLIS,GO,5200902
206,AMPARO,SP,3501905
207,AMPARO,PB,2500734
208,AMPARO DE SÃO FRANCISCO,SE,2800100
209,AMPARO DO SERRA,MG,3102506
210,AMPÉRE,PR,4101002
211,ANADIA,AL,2700201
212,ANAGÉ,BA,2901205
213,ANAHY,PR,4101051
214,ANAJÁS,PA,1500701
215,ANAJATUBA,MA,2100709
216,ANALÂNDIA,SP,3502002
217,ANAMÃ,AM,1300086
218,ANANÁS,TO,1701002
219,ANANINDEUA,PA,1500800
220,ANÁPOLIS,GO,5201108
221,ANAPU,PA,1500859
222,ANAPURUS,MA,2100808
223,ANASTÁCIO,MS,5000708
224,ANAURILÂNDIA,MS,5000807
225,ANCHIETA,ES,3200409
226,ANCHIETA,SC,4200804
227,ANDARAÍ,BA,2901304
228,ANDIRÁ,PR,4101101
229,ANDORINHA,BA,2901353
230,ANDRADAS,MG,3102605
231,ANDRADINA,SP,3502101
232,ANDRÉ DA ROCHA,RS,4300661
233,ANDRELÂNDIA,MG,3102803
234,ANGATUBA,SP,3502200
235,ANGELÂNDIA,MG,3102852
236,ANGÉLICA,MS,5000856
237,ANGELIM,PE,2601003
238,ANGELINA,SC,4200903
239,ANGICAL,BA,2901403
240,ANGICAL DO PIAUÍ,PI,2200608
241,ANGICO,TO,1701051
242,ANGICOS,RN,2400802
243,ANGRA DOS REIS,RJ,3300100
244,ANGUERA,BA,2901502
245,ÂNGULO,PR,4101150
246,ANHANGUERA,GO,5201207
247,ANHEMBI,SP,3502309
248,ANHUMAS,SP,3502408
249,ANICUNS,GO,5201306
250,ANÍSIO DE ABREU,PI,2200707
251,ANITA GARIBALDI,SC,4201000
252,ANITÁPOLIS,SC,4201109
253,ANORI,AM,1300102
254,ANTA GORDA,RS,4300703
255,ANTAS,BA,2901601
256,ANTONINA,PR,4101200
257,ANTONINA DO NORTE,CE,2300804
258,ANTÔNIO ALMEIDA,PI,2200806
259,ANTÔNIO CARDOSO,BA,2901700
260,ANTÔNIO CARLOS,SC,4201208
261,ANTÔNIO CARLOS,MG,3102902
262,ANTÔNIO DIAS,MG,3103009
263,ANTÔNIO GONÇALVES,BA,2901809
264,ANTÔNIO JOÃO,MS,5000906
265,ANTÔNIO MARTINS,RN,2400901
266,ANTÔNIO OLINTO,PR,4101309
267,ANTÔNIO PRADO,RS,4300802
268,ANTÔNIO PRADO DE MINAS,MG,3103108
269,APARECIDA,PB,2500775
270,APARECIDA,SP,3502507
271,APARECIDA D OESTE,SP,3502606
272,APARECIDA DE GOIÂNIA,GO,5201405
273,APARECIDA DO RIO DOCE,GO,5201454
274,APARECIDA DO RIO NEGRO,TO,1701101
275,APARECIDA DO TABOADO,MS,5001003
276,APERIBÉ,RJ,3300159
277,APIACÁ,ES,3200508
278,APIACÁS,MT,5100805
279,APIAÍ,SP,3502705
280,APICUM-AÇU,MA,2100832
281,APIÚNA,SC,4201257
282,APODI,RN,2401008
283,APORÁ,BA,2901908
284,APORÉ,GO,5201504
285,APUAREMA,BA,2901957
286,APUCARANA,PR,4101408
287,APUÍ,AM,1300144
288,APUIARÉS,CE,2300903
289,AQUIDABÃ,SE,2800209
290,AQUIDAUANA,MS,5001102
291,AQUIRAZ,CE,2301000
292,ARABUTÃ,SC,4201273
293,ARAÇAGI,PB,2500809
294,ARAÇAÍ,MG,3103207
295,ARACAJU,SE,2800308
296,ARAÇARIGUAMA,SP,3502754
297,ARAÇAS,BA,2902054
298,ARACATI,CE,2301109
299,ARACATU,BA,2902005
300,ARAÇATUBA,SP,3502804
301,ARACI,BA,2902104
302,ARACITABA,MG,3103306
303,ARACOIABA,CE,2301208
304,ARAÇOIABA,PE,2601052
305,ARAÇOIABA DA SERRA,SP,3502903
306,ARACRUZ,ES,3200607
307,ARAÇU,GO,5201603
308,ARAÇUAÍ,MG,3103405
309,ARAGARÇAS,GO,5201702
310,ARAGOIÂNIA,GO,5201801
311,ARAGOMINAS,TO,1701309
312,ARAGUACEMA,TO,1701903
313,ARAGUAÇU,TO,1702000
314,ARAGUAIANA,MT,5101001
315,ARAGUAÍNA,TO,1702109
316,ARAGUAINHA,MT,5101209
317,ARAGUANÃ,MA,2100873
318,ARAGUANÃ,TO,1702158
319,ARAGUAPAZ,GO,5202155
320,ARAGUARI,MG,3103504
321,ARAGUATINS,TO,1702208
322,ARAIOSES,MA,2100907
323,ARAL MOREIRA,MS,5001243
324,ARAMARI,BA,2902203
325,ARAMBARÉ,RS,4300851
326,ARAME,MA,2100956
327,ARAMINA,SP,3503000
328,ARANDU,SP,3503109
329,ARANTINA,MG,3103603
330,ARAPEÍ,SP,3503158
331,ARAPIRACA,AL,2700300
332,ARAPOEMA,TO,1702307
333,ARAPONGA,MG,3103702
334,ARAPONGAS,PR,4101507
335,ARAPORÃ,MG,3103751
336,ARAPOTI,PR,4101606
337,ARAPUÁ,MG,3103801
338,ARAPUÃ,PR,4101655
339,ARAPUTANGA,MT,5101258
340,ARAQUARI,SC,4201307
341,ARARA,PB,2500908
342,ARARANGUÁ,SC,4201406
343,ARARAQUARA,SP,3503208
344,ARARAS,SP,3503307
345,ARARENDÁ,CE,2301257
346,ARARI,MA,2101004
347,ARARICÁ,RS,4300877
348,ARARIPE,CE,2301307
349,ARARIPINA,PE,2601102
350,ARARUAMA,RJ,3300209
351,ARARUNA,PR,4101705
352,ARARUNA,PB,2501005
353,ARATACA,BA,2902252
354,ARATIBA,RS,4300901
355,ARATUBA,CE,2301406
356,ARATUÍPE,BA,2902302
357,ARAUÁ,SE,2800407
358,ARAUCÁRIA,PR,4101804
359,ARAÚJOS,MG,3103900
360,ARAXÁ,MG,3104007
361,ARCEBURGO,MG,3104106
362,ARCO-ÍRIS,SP,3503356
363,ARCOS,MG,3104205
364,ARCOVERDE,PE,2601201
365,AREADO,MG,3104304
366,AREAL,RJ,3300225
367,AREALVA,SP,3503406
368,AREIA,PB,2501104
369,AREIA BRANCA,SE,2800506
370,AREIA BRANCA,RN,2401107
371,AREIA DE BARAÚNAS,PB,2501153
372,AREIAL,PB,2501203
373,AREIAS,SP,3503505
374,AREIÓPOLIS,SP,3503604
375,ARENÁPOLIS,MT,5101308
376,ARENÓPOLIS,GO,5202353
377,ARÊS,RN,2401206
378,ARGIRITA,MG,3104403
379,ARICANDUVA,MG,3104452
380,ARINOS,MG,3104502
381,ARIPUANÃ,MT,5101407
382,ARIQUEMES,RO,1100023
383,ARIRANHA,SP,3503703
384,ARIRANHA DO IVAÍ,PR,4101853
385,ARMAÇÃO DOS BÚZIOS,RJ,3300233
386,ARMAZÉM,SC,4201505
387,ARNEIROZ,CE,2301505
388,AROAZES,PI,2200905
389,AROEIRAS,PB,2501302
390,AROEIRAS DO ITAIM,PI,2200954
391,ARRAIAL,PI,2201002
392,ARRAIAL DO CABO,RJ,3300258
393,ARRAIAS,TO,1702406
394,ARROIO DO MEIO,RS,4301008
395,ARROIO DO PADRE,RS,4301073
396,ARROIO DO SAL,RS,4301057
397,ARROIO DO TIGRE,RS,4301206
398,ARROIO DOS RATOS,RS,4301107
399,ARROIO GRANDE,RS,4301305
400,ARROIO TRINTA,SC,4201604
401,ARTUR NOGUEIRA,SP,3503802
402,ARUANÃ,GO,5202502
403,ARUJÁ,SP,3503901
404,ARVOREDO,SC,4201653
405,ARVOREZINHA,RS,4301404
406,ASCURRA,SC,4201703
407,ASPÁSIA,SP,3503950
408,ASSAÍ,PR,4101903
409,ASSARÉ,CE,2301604
410,ASSIS,SP,3504008
411,ASSIS BRASIL,AC,1200054
412,ASSIS CHATEAUBRIAND,PR,4102000
413,ASSUNÇÃO,PB,2501351
414,ASSUNÇÃO DO PIAUÍ,PI,2201051
415,ASTOLFO DUTRA,MG,3104601
416,ASTORGA,PR,4102109
417,ATALAIA,AL,2700409
418,ATALAIA,PR,4102208
419,ATALAIA DO NORTE,AM,1300201
420,ATALANTA,SC,4201802
421,ATALÉIA,MG,3104700
422,ATIBAIA,SP,3504107
423,ATILIO VIVACQUA,ES,3200706
424,AUGUSTINÓPOLIS,TO,1702554
425,AUGUSTO CORRÊA,PA,1500909
426,AUGUSTO DE LIMA,MG,3104809
427,AUGUSTO PESTANA,RS,4301503
428,CAMPO GRANDE,RN,2401305
429,ÁUREA,RS,4301552
430,AURELINO LEAL,BA,2902401
431,AURIFLAMA,SP,3504206
432,AURILÂNDIA,GO,5202601
433,AURORA,CE,2301703
434,AURORA,SC,4201901
435,AURORA DO PARÁ,PA,1500958
436,AURORA DO TOCANTINS,TO,1702703
437,AUTAZES,AM,1300300
438,AVAÍ,SP,3504305
439,AVANHANDAVA,SP,3504404
440,AVARÉ,SP,3504503
441,AVEIRO,PA,1501006
442,AVELINO LOPES,PI,2201101
443,AVELINÓPOLIS,GO,5202809
444,AXIXÁ,MA,2101103
445,AXIXÁ DO TOCANTINS,TO,1702901
446,BABAÇULÂNDIA,TO,1703008
447,BACABAL,MA,2101202
448,BACABEIRA,MA,2101251
449,BACURI,MA,2101301
450,BACURITUBA,MA,2101350
451,BADY BASSITT,SP,3504602
452,BAEPENDI,MG,3104908
453,BAGÉ,RS,4301602
454,BAGRE,PA,1501105
455,BAÍA DA TRAIÇÃO,PB,2501401
456,BAÍA FORMOSA,RN,2401404
457,BAIANÓPOLIS,BA,2902500
458,BAIÃO,PA,1501204
459,BAIXA GRANDE,BA,2902609
460,BAIXA GRANDE DO RIBEIRO,PI,2201150
461,BAIXIO,CE,2301802
462,BAIXO GUANDU,ES,3200805
463,BALBINOS,SP,3504701
464,BALDIM,MG,3105004
465,BALIZA,GO,5203104
466,BALNEÁRIO ARROIO DO SILVA,SC,4201950
467,BALNEÁRIO BARRA DO SUL,SC,4202057
468,BALNEÁRIO CAMBORIÚ,SC,4202008
469,BALNEÁRIO GAIVOTA,SC,4202073
470,BALNEÁRIO PIÇARRAS,SC,4212809
471,BALNEÁRIO PINHAL,RS,4301636
472,BALSA NOVA,PR,4102307
473,BÁLSAMO,SP,3504800
474,BALSAS,MA,2101400
475,BAMBUÍ,MG,3105103
476,BANABUIÚ,CE,2301851
477,BANANAL,SP,3504909
478,BANANEIRAS,PB,2501500
479,BANDEIRA,MG,3105202
480,BANDEIRA DO SUL,MG,3105301
481,BANDEIRANTE,SC,4202081
482,BANDEIRANTES,PR,4102406
483,BANDEIRANTES,MS,5001508
484,BANDEIRANTES DO TOCANTINS,TO,1703057
485,BANNACH,PA,1501253
486,BANZAÊ,BA,2902658
487,BARÃO,RS,4301651
488,BARÃO DE ANTONINA,SP,3505005
489,BARÃO DE COCAIS,MG,3105400
490,BARÃO DE COTEGIPE,RS,4301701
491,BARÃO DE GRAJAÚ,MA,2101509
492,BARÃO DE MELGAÇO,MT,5101605
493,BARÃO DE MONTE ALTO,MG,3105509
494,BARÃO DO TRIUNFO,RS,4301750
495,BARAÚNA,PB,2501534
496,BARAÚNA,RN,2401453
497,BARBACENA,MG,3105608
498,BARBALHA,CE,2301901
499,BARBOSA,SP,3505104
500,BARBOSA FERRAZ,PR,4102505
501,BARCARENA,PA,1501303
502,BARCELONA,RN,2401503
503,BARCELOS,AM,1300409
504,BARIRI,SP,3505203
505,BARRA,BA,2902708
506,BARRA BONITA,SP,3505302
507,BARRA BONITA,SC,4202099
508,BARRA D ALCÂNTARA,PI,2201176
509,BARRA DA ESTIVA,BA,2902807
510,BARRA DE GUABIRABA,PE,2601300
511,BARRA DE SANTA ROSA,PB,2501609
512,BARRA DE SANTANA,PB,2501575
513,BARRA DE SANTO ANTÔNIO,AL,2700508
514,BARRA DE SÃO FRANCISCO,ES,3200904
515,BARRA DE SÃO MIGUEL,PB,2501708
516,BARRA DE SÃO MIGUEL,AL,2700607
517,BARRA DO BUGRES,MT,5101704
518,BARRA DO CHAPÉU,SP,3505351
519,BARRA DO CHOÇA,BA,2902906
520,BARRA DO CORDA,MA,2101608
521,BARRA DO GARÇAS,MT,5101803
522,BARRA DO GUARITA,RS,4301859
523,BARRA DO JACARÉ,PR,4102703
524,BARRA DO MENDES,BA,2903003
525,BARRA DO OURO,TO,1703073
526,BARRA DO PIRAÍ,RJ,3300308
527,BARRA DO QUARAÍ,RS,4301875
528,BARRA DO RIBEIRO,RS,4301909
529,BARRA DO RIO AZUL,RS,4301925
530,BARRA DO ROCHA,BA,2903102
531,BARRA DO TURVO,SP,3505401
532,BARRA DOS COQUEIROS,SE,2800605
533,BARRA FUNDA,RS,4301958
534,BARRA LONGA,MG,3105707
535,BARRA MANSA,RJ,3300407
536,BARRA VELHA,SC,4202107
537,BARRACÃO,PR,4102604
538,BARRACÃO,RS,4301800
539,BARRAS,PI,2201200
540,BARREIRA,CE,2301950
541,BARREIRAS,BA,2903201
542,BARREIRAS DO PIAUÍ,PI,2201309
543,BARREIRINHA,AM,1300508
544,BARREIRINHAS,MA,2101707
545,BARREIROS,PE,2601409
546,BARRETOS,SP,3505500
547,BARRINHA,SP,3505609
548,BARRO,CE,2302008
549,BARRO ALTO,GO,5203203
550,BARRO ALTO,BA,2903235
551,BARRO DURO,PI,2201408
552,BARRO PRETO,BA,2903300
553,BARROCAS,BA,2903276
554,BARROLÂNDIA,TO,1703107
555,BARROQUINHA,CE,2302057
556,BARROS CASSAL,RS,4302006
557,BARROSO,MG,3105905
558,BARUERI,SP,3505708
559,BASTOS,SP,3505807
560,BATAGUASSU,MS,5001904
561,BATALHA,PI,2201507
562,BATALHA,AL,2700706
563,BATATAIS,SP,3505906
564,BATAYPORÃ,MS,5002001
565,BATURITÉ,CE,2302107
566,BAURU,SP,3506003
567,BAYEUX,PB,2501807
568,BEBEDOURO,SP,3506102
569,BEBERIBE,CE,2302206
570,BELA CRUZ,CE,2302305
571,BELA VISTA,MS,5002100
572,BELA VISTA DA CAROBA,PR,4102752
573,BELA VISTA DE GOIÁS,GO,5203302
574,BELA VISTA DE MINAS,MG,3106002
575,BELA VISTA DO MARANHÃO,MA,2101772
576,BELA VISTA DO PARAÍSO,PR,4102802
577,BELA VISTA DO PIAUÍ,PI,2201556
578,BELA VISTA DO TOLDO,SC,4202131
579,BELÁGUA,MA,2101731
580,BELÉM,AL,2700805
581,BELÉM,PA,1501402
582,BELÉM,PB,2501906
583,BELÉM DE MARIA,PE,2601508
584,BELÉM DE SÃO FRANCISCO,PE,2601607
585,BELÉM DO BREJO DO CRUZ,PB,2502003
586,BELÉM DO PIAUÍ,PI,2201572
587,BELFORD ROXO,RJ,3300456
588,BELMIRO BRAGA,MG,3106101
589,BELMONTE,BA,2903409
590,BELMONTE,SC,4202156
591,BELO CAMPO,BA,2903508
592,BELO HORIZONTE,MG,3106200
593,BELO JARDIM,PE,2601706
594,BELO MONTE,AL,2700904
595,BELO ORIENTE,MG,3106309
596,BELO VALE,MG,3106408
597,BELTERRA,PA,1501451
598,BENEDITINOS,PI,2201606
599,BENEDITO LEITE,MA,2101806
600,BENEDITO NOVO,SC,4202206
601,BENEVIDES,PA,1501501
602,BENJAMIN CONSTANT,AM,1300607
603,BENJAMIN CONSTANT DO SUL,RS,4302055
604,BENTO DE ABREU,SP,3506201
605,BENTO FERNANDES,RN,2401602
606,BENTO GONÇALVES,RS,4302105
607,BEQUIMÃO,MA,2101905
608,BERILO,MG,3106507
609,BERIZAL,MG,3106655
610,BERNARDINO BATISTA,PB,2502052
611,BERNARDINO DE CAMPOS,SP,3506300
612,BERNARDO DO MEARIM,MA,2101939
613,BERNARDO SAYÃO,TO,1703206
614,BERTIOGA,SP,3506359
615,BERTOLÍNIA,PI,2201705
616,BERTÓPOLIS,MG,3106606
617,BERURI,AM,1300631
618,BETÂNIA,PE,2601805
619,BETÂNIA DO PIAUÍ,PI,2201739
620,BETIM,MG,3106705
621,BEZERROS,PE,2601904
622,BIAS FORTES,MG,3106804
623,BICAS,MG,3106903
624,BIGUAÇU,SC,4202305
625,BILAC,SP,3506409
626,BIQUINHAS,MG,3107000
627,BIRIGUI,SP,3506508
628,BIRITIBA-MIRIM,SP,3506607
629,BIRITINGA,BA,2903607
630,BITURUNA,PR,4102901
631,BLUMENAU,SC,4202404
632,BOA ESPERANÇA,ES,3201001
633,BOA ESPERANÇA,PR,4103008
634,BOA ESPERANÇA,MG,3107109
635,BOA ESPERANÇA DO IGUAÇU,PR,4103024
636,BOA ESPERANÇA DO SUL,SP,3506706
637,BOA HORA,PI,2201770
638,BOA NOVA,BA,2903706
639,BOA VENTURA,PB,2502102
640,BOA VENTURA DE SÃO ROQUE,PR,4103040
641,BOA VIAGEM,CE,2302404
642,BOA VISTA,RR,1400100
643,BOA VISTA,PB,2502151
644,BOA VISTA DA APARECIDA,PR,4103057
645,BOA VISTA DAS MISSÕES,RS,4302154
646,BOA VISTA DO BURICÁ,RS,4302204
647,BOA VISTA DO CADEADO,RS,4302220
648,BOA VISTA DO GURUPI,MA,2101970
649,BOA VISTA DO INCRA,RS,4302238
650,BOA VISTA DO RAMOS,AM,1300680
651,BOA VISTA DO SUL,RS,4302253
652,BOA VISTA DO TUPIM,BA,2903805
653,BOCA DA MATA,AL,2701001
654,BOCA DO ACRE,AM,1300706
655,BOCAINA,SP,3506805
656,BOCAINA,PI,2201804
657,BOCAINA DE MINAS,MG,3107208
658,BOCAINA DO SUL,SC,4202438
659,BOCAIÚVA,MG,3107307
660,BOCAIÚVA DO SUL,PR,4103107
661,BODÓ,RN,2401651
662,BODOCÓ,PE,2602001
663,BODOQUENA,MS,5002159
664,BOFETE,SP,3506904
665,BOITUVA,SP,3507001
666,BOM CONSELHO,PE,2602100
667,BOM DESPACHO,MG,3107406
668,BOM JARDIM,PE,2602209
669,BOM JARDIM,MA,2102002
670,BOM JARDIM,RJ,3300506
671,BOM JARDIM DA SERRA,SC,4202503
672,BOM JARDIM DE GOIÁS,GO,5203401
673,BOM JARDIM DE MINAS,MG,3107505
674,BOM JESUS,PI,2201903
675,BOM JESUS,PB,2502201
676,BOM JESUS,RN,2401701
677,BOM JESUS,SC,4202537
678,BOM JESUS,RS,4302303
679,BOM JESUS DA LAPA,BA,2903904
680,BOM JESUS DA PENHA,MG,3107604
681,BOM JESUS DA SERRA,BA,2903953
682,BOM JESUS DAS SELVAS,MA,2102036
683,BOM JESUS DE GOIÁS,GO,5203500
684,BOM JESUS DO AMPARO,MG,3107703
685,BOM JESUS DO ARAGUAIA,MT,5101852
686,BOM JESUS DO GALHO,MG,3107802
687,BOM JESUS DO ITABAPOANA,RJ,3300605
688,BOM JESUS DO NORTE,ES,3201100
689,BOM JESUS DO OESTE,SC,4202578
690,BOM JESUS DO SUL,PR,4103156
691,BOM JESUS DO TOCANTINS,PA,1501576
692,BOM JESUS DO TOCANTINS,TO,1703305
693,BOM JESUS DOS PERDÕES,SP,3507100
694,BOM LUGAR,MA,2102077
695,BOM PRINCÍPIO,RS,4302352
696,BOM PRINCÍPIO DO PIAUÍ,PI,2201919
697,BOM PROGRESSO,RS,4302378
698,BOM REPOUSO,MG,3107901
699,BOM RETIRO,SC,4202602
700,BOM RETIRO DO SUL,RS,4302402
701,BOM SUCESSO,PR,4103206
702,BOM SUCESSO,PB,2502300
703,BOM SUCESSO,MG,3108008
704,BOM SUCESSO DE ITARARÉ,SP,3507159
705,BOM SUCESSO DO SUL,PR,4103222
706,BOMBINHAS,SC,4202453
707,BONFIM,MG,3108107
708,BONFIM,RR,1400159
709,BONFIM DO PIAUÍ,PI,2201929
710,BONFINÓPOLIS,GO,5203559
711,BONFINÓPOLIS DE MINAS,MG,3108206
712,BONINAL,BA,2904001
713,BONITO,PE,2602308
