IdTurmaHorario,IdTurma,DiaSemana,Aula,IdDisciplina,IdSala
254,267,4,T5,16,
255,267,4,T6,16,
256,251,6,N4,1,
257,251,6,N5,1,
258,251,6,N6,1,
259,251,2,N3,4,
260,251,2,N4,4,
261,251,2,N5,4,
262,251,4,N1,16,
263,251,4,N2,16,
264,166,4,M2,1,
265,166,4,M3,1,
266,166,4,M4,1,
267,166,6,M2,4,
268,166,6,M3,4,
269,166,6,M4,4,
270,166,4,M6,16,
271,166,4,M7,16,
272,167,4,M5,1,
273,167,4,M6,1,
274,167,4,M7,1,
275,167,6,M5,4,
276,167,6,M6,4,
277,167,6,M7,4,
278,167,4,M8,16,
279,414,5,T1,1,
280,414,5,T2,1,
281,414,5,T3,1,
282,414,3,T3,4,
283,414,3,T4,4,
284,414,3,T5,4,
285,414,4,T3,16,
286,414,4,T4,16,
287,248,4,T6,1,
288,248,4,T7,1,
289,248,4,T8,1,
290,248,2,T4,4,
291,248,2,T5,4,
292,248,2,T6,4,
293,248,2,T2,16,
294,248,2,T3,16,
295,168,5,M3,1,
296,168,5,M4,1,
297,168,5,M5,1,
298,168,3,M2,4,
299,168,3,M3,4,
300,168,3,M4,4,
301,168,5,M8,16,
302,424,4,M4,5,
303,424,4,M5,5,
304,424,4,M6,5,
305,451,2,M7,5,
306,451,2,M8,5,
307,452,2,T6,5,
308,452,2,T7,5,
309,452,2,T8,5,
310,423,6,T3,5,
311,423,6,T4,5,
312,423,6,T5,5,
313,286,2,N1,5,
314,286,2,N2,5,
315,286,2,N3,5,
316,273,3,T6,5,
317,273,3,T7,5,
318,273,3,T8,5,
319,295,5,M3,5,
320,295,5,M4,5,
321,295,5,M5,5,
322,274,3,N4,5,
323,274,3,N5,5,
324,274,3,N6,5,
325,289,2,M4,5,
326,289,2,M5,5,
327,289,2,M6,5,
328,277,5,N1,5,
329,277,5,N2,5,
330,277,5,N3,5,
331,281,5,T3,5,
332,281,5,T4,5,
333,281,5,T5,5,
334,276,2,N4,5,
335,276,2,N5,5,
336,276,2,N6,5,
337,283,5,M7,5,
338,283,5,M8,5,
339,297,4,T6,5,
340,297,4,T7,5,
341,297,4,T8,5,
342,234,5,T6,5,
343,234,5,T7,5,
344,234,5,T8,5,
345,285,3,N1,5,
346,285,3,N2,5,
347,285,3,N3,5,
348,303,3,T3,5,
349,303,3,T4,5,
350,303,3,T5,5,
351,278,4,N2,5,
352,278,4,N3,5,
353,278,4,N4,5,
354,291,2,T3,5,
355,291,2,T4,5,
356,291,2,T5,5,
357,300,4,N5,5,
358,300,4,N6,5,
359,300,4,N7,5,
360,425,6,T6,5,
361,425,6,T7,5,
362,425,6,T8,5,
363,210,3,N1,1,
364,210,3,N2,1,
365,210,3,N3,1,
366,210,5,T3,4,
367,210,5,T4,4,
368,210,5,T5,4,
369,210,4,N3,17,
370,210,4,N4,17,
371,453,3,N5,1,
372,453,3,N6,1,
373,453,3,N7,1,
374,453,4,N8,4,
375,453,5,N8,17,
376,208,3,N4,1,
377,208,3,N5,1,
378,208,3,N6,1,
379,208,5,N1,4,
380,208,5,N2,4,
381,208,5,N3,4,
382,208,5,T5,17,
383,208,5,T6,17,
384,202,3,N1,1,
385,202,3,N2,1,
386,202,3,N3,1,
387,202,5,T6,4,
388,202,5,T7,4,
389,202,5,T8,4,
390,202,3,T6,17,
391,202,3,T7,17,
392,199,3,N4,1,
393,199,3,N5,1,
394,199,3,N6,1,
395,199,2,N4,4,
396,199,2,N5,4,
397,199,2,N6,4,
398,199,2,N2,17,
399,199,2,N3,17,
400,409,3,M7,1,
401,409,3,M8,1,
402,409,2,M5,4,
403,409,2,M6,4,
404,409,2,M7,4,
405,409,5,M3,17,
406,409,5,M4,17,
407,200,3,T5,1,
408,200,5,N5,4,
409,200,5,N6,4,
410,200,5,N7,4,
411,200,3,N1,17,
412,200,3,N2,17,
413,200,3,T6,1,
414,200,3,T7,1,
415,255,5,N4,1,
416,255,5,N5,1,
417,255,5,N6,1,
418,255,5,N1,4,
419,255,5,N2,4,
420,255,5,N3,4,
421,255,3,T3,17,
422,255,3,T4,17,
423,201,5,N1,1,
424,201,5,N2,1,
425,201,5,N3,1,
426,201,3,T6,4,
427,201,3,T7,4,
428,201,3,T8,4,
429,201,2,T7,17,
430,201,2,T8,17,
431,203,5,T6,1,
432,203,5,T7,1,
433,203,5,T8,1,
434,203,4,T6,4,
435,203,4,T7,4,
436,203,4,T8,4,
437,203,5,T3,17,
438,203,5,T4,17,
439,266,3,N2,1,
440,266,3,N3,1,
441,266,3,N4,1,
442,266,4,N4,4,
443,266,4,N5,4,
444,266,4,N6,4,
445,266,5,N1,17,
446,266,5,N2,17,
447,205,4,N2,1,
448,205,4,N3,1,
449,205,4,N4,1,
450,205,2,N4,4,
451,205,2,N5,4,
452,205,2,N6,4,
455,243,5,M4,1,
456,243,5,M5,1,
457,243,5,M6,1,
458,243,4,M4,4,
459,243,4,M5,4,
460,243,4,M6,4,
461,243,4,M7,17,
462,243,4,M8,17,
463,207,2,T7,1,
464,207,2,T8,1,
465,207,2,N1,1,
466,207,5,N4,4,
467,207,5,N5,4,
468,207,5,N6,4,
469,207,2,N3,17,
470,207,2,N4,17,
471,249,3,T3,1,
472,249,3,T4,1,
473,249,3,T5,1,
474,249,5,T2,4,
475,249,5,T3,4,
476,249,5,T4,4,
477,249,4,T4,17,
478,249,4,T5,17,
479,185,5,T3,1,
480,185,5,T4,1,
481,185,5,T5,1,
482,185,4,T3,4,
483,185,4,T4,4,
484,185,4,T5,4,
485,185,5,T7,19,
486,185,5,T8,19,
487,186,5,N1,1,
488,186,5,N2,1,
489,186,5,N3,1,
490,186,4,N1,4,
491,186,4,N2,4,
492,186,4,N3,4,
493,186,5,N5,19,
494,186,5,N6,19,
495,187,2,M3,1,
496,187,2,M4,1,
497,187,2,M5,1,
499,187,3,M4,4,
500,187,3,M5,4,
501,187,3,M6,4,
502,187,3,M7,19,
503,187,3,M8,19,
504,188,2,M6,1,
505,188,2,M7,1,
506,188,2,M8,1,
507,188,3,M7,4,
508,188,3,M8,4,
509,188,3,M5,19,
510,188,3,M6,19,
511,416,3,T7,1,
512,416,3,T8,1,
513,416,3,N4,4,
514,416,3,N5,4,
515,416,3,N6,4,
516,416,4,N4,19,
517,416,4,N5,19,
518,189,4,T4,1,
519,189,4,T5,1,
520,189,4,T6,1,
521,189,2,T6,4,
522,189,2,T7,4,
523,189,2,T8,4,
524,189,4,T7,19,
525,189,4,T8,19,
526,190,4,T7,1,
527,190,4,T8,1,
528,190,4,N1,1,
529,190,2,N1,4,
530,190,2,N2,4,
531,190,2,N3,4,
532,190,3,N3,19,
533,190,3,N4,19,
534,242,5,M7,1,
535,242,5,M8,1,
536,242,4,M7,4,
537,242,4,M8,4,
538,242,4,M5,19,
539,242,4,M6,19,
540,256,2,T4,1,
541,256,2,T5,1,
542,256,2,T6,1,
543,256,5,T6,4,
544,256,5,T7,4,
545,256,5,T8,4,
546,256,2,T7,19,
547,256,2,T8,19,
548,193,4,M4,1,
549,193,4,M5,1,
550,193,4,M6,1,
551,193,5,M4,4,
552,193,5,M5,4,
553,193,5,M6,4,
554,193,2,M6,19,
555,193,2,M7,19,
556,194,2,N2,1,
557,194,2,N3,1,
558,194,2,N4,1,
559,194,3,T8,4,
560,194,3,N1,4,
561,194,3,N2,4,
562,194,2,N5,19,
563,194,2,N6,19,
564,419,4,M7,1,
565,419,4,M8,1,
566,419,5,M7,4,
567,419,5,M8,4,
568,419,2,M8,19,
569,169,2,N2,1,
570,169,2,N3,1,
571,169,2,N4,1,
572,169,4,T6,4,
573,169,4,T7,4,
574,169,4,T8,4,
575,169,5,T5,19,
576,169,5,T6,19,
577,170,2,N5,1,
578,170,2,N6,1,
579,170,2,N7,1,
580,170,6,N4,4,
581,170,6,N5,4,
582,170,6,N6,4,
583,170,2,N1,19,
584,170,2,N2,19,
585,172,3,M7,1,
586,172,3,M8,1,
587,172,5,M7,4,
588,172,5,M8,4,
591,174,4,N2,1,
592,174,4,N3,1,
593,174,4,N5,4,
594,174,4,N4,1,
595,174,4,N6,4,
596,174,4,N7,4,
597,174,3,T7,19,
598,174,3,T8,19,
599,177,2,N5,1,
600,177,2,N6,1,
601,177,2,N7,1,
602,177,4,N2,4,
603,177,4,N3,4,
604,177,4,N4,4,
605,177,3,N1,19,
606,177,3,N2,19,
607,178,3,M3,1,
608,178,3,M4,1,
609,178,3,M5,1,
610,178,4,M7,4,
611,178,4,M8,4,
612,178,4,M3,19,
613,178,4,M4,19,
614,179,6,T6,1,
615,179,6,T7,1,
616,179,6,T8,1,
617,179,3,N1,4,
618,179,3,N3,4,
619,179,3,N2,4,
620,179,4,N3,19,
621,179,4,N4,19,
622,180,6,N1,1,
623,180,6,N2,1,
624,180,6,N3,1,
625,180,3,N4,4,
626,180,3,N5,4,
627,180,3,N6,4,
628,180,4,N5,19,
629,180,4,N6,19,
630,181,2,M3,1,
631,181,2,M4,1,
632,181,2,M5,1,
633,181,5,M3,4,
634,181,5,M4,4,
635,181,5,M5,4,
636,181,5,M6,19,
637,181,5,M7,19,
638,183,3,T6,1,
639,183,3,T7,1,
640,183,3,T8,1,
641,183,6,T4,4,
642,183,6,T5,4,
643,183,6,T6,4,
644,183,2,T4,19,
645,183,2,T5,19,
646,247,5,M7,1,
647,247,5,M8,1,
648,247,5,M6,1,
649,247,4,M3,4,
650,247,4,M4,4,
651,247,4,M5,4,
652,247,2,M3,19,
653,247,2,M4,19,
654,415,2,T6,1,
655,415,2,T7,1,
656,415,2,T8,1,
657,415,6,T8,4,
658,415,6,N1,4,
659,415,6,N2,4,
660,415,4,T7,19,
661,415,4,T8,19,
662,172,3,M3,19,
663,172,3,M4,19,
664,205,3,N5,17,
665,205,3,N6,17,
666,159,6,N8,18,
667,160,6,N8,18,
668,161,6,N8,18,
669,257,6,N8,18,
670,162,6,N8,18,
671,163,6,N8,18,
672,164,6,N8,18,
673,244,6,N8,18,
674,165,6,N8,18,
675,267,6,N8,18,
676,251,6,N8,18,
677,166,6,N8,18,
678,167,6,N8,18,
679,248,6,N8,18,
680,168,6,N8,18,
681,414,6,N8,18,
682,159,5,N8,18,
683,160,5,N8,18,
684,161,5,N8,18,
685,257,5,N8,18,
686,162,5,N8,18,
687,163,5,N8,18,
688,164,5,N8,18,
689,244,5,N8,18,
690,165,5,N8,18,
691,267,5,N8,18,
692,251,5,N8,18,
693,166,5,N8,18,
694,167,5,N8,18,
695,248,5,N8,18,
696,168,5,N8,18,
697,414,5,N8,18,
698,169,4,N8,18,
699,170,4,N8,18,
700,172,4,N8,18,
701,174,4,N8,18,
702,177,4,N8,18,
703,178,4,N8,18,
704,179,4,N8,18,
705,180,4,N8,18,
706,181,4,N8,18,
707,183,4,N8,18,
708,247,4,N8,18,
709,415,4,N8,18,
710,418,5,M8,18,
711,421,5,T1,18,
712,421,5,T2,18,
713,420,5,T1,18,
714,420,5,T2,18,
715,422,5,M8,18,
716,235,5,T1,18,
717,235,5,T2,18,
718,236,5,T1,18,
719,236,5,T2,18,
720,237,5,M8,18,
721,238,5,M8,18,
722,410,5,T1,18,
723,410,5,T2,18,
724,239,5,T1,18,
725,239,5,T2,18,
726,240,5,T1,18,
727,240,5,T2,18,
728,241,5,M8,18,
729,147,5,M8,18,
730,412,5,T1,18,
731,412,5,T2,18,
732,149,5,T1,18,
733,149,5,T2,18,
734,150,5,T1,18,
735,150,5,T2,18,
736,151,5,M8,18,
737,152,5,M8,18,
738,153,5,T1,18,
739,153,5,T2,18,
740,156,5,M8,18,
741,157,5,M8,18,
742,411,5,T1,18,
743,411,5,T2,18,
744,185,2,N8,18,
745,185,4,N8,18,
746,186,2,N8,18,
747,186,4,N8,18,
748,187,2,N8,18,
749,187,4,N8,18,
750,188,2,N8,18,
751,188,4,N8,18,
752,416,2,N8,18,
753,416,4,N8,18,
754,189,2,N8,18,
755,189,4,N8,18,
756,190,2,N8,18,
757,190,4,N8,18,
758,242,2,N8,18,
759,242,4,N8,18,
760,256,2,N8,18,
761,256,4,N8,18,
762,193,2,N8,18,
763,193,4,N8,18,
764,194,2,N8,18,
765,194,4,N8,18,
766,419,2,N8,18,
767,419,4,N8,18,
768,203,4,N8,18,
769,203,2,N8,18,
770,266,2,N8,18,
771,266,4,N8,18,
772,205,2,N8,18,
773,205,4,N8,18,
774,243,2,N8,18,
775,243,4,N8,18,
776,207,2,N8,18,
777,207,4,N8,18,
778,249,2,N8,18,
779,249,4,N8,18,
780,202,5,N8,18,
781,199,5,N8,18,
782,409,5,N8,18,
783,200,5,N8,18,
784,255,5,N8,18,
785,201,5,N8,18,
786,208,6,N1,5,
787,208,6,N2,5,
788,504,5,N5,17,
789,574,5,N5,25,
790,509,3,T6,1,
791,511,7,T5,1,
